state,importance,paper_title,venue,project_link_or_github_link,paper_link,sort,pdf_path
Wait,B,ActAvatar: Temporally-Aware Precise Action Control for Talking Avatars,CVPR 2026,,https://arxiv.org/abs/2512.19546,CVPR_2026_human_recon_pose_supplement_20260612 | Other Vision / Applications | reasons=avatar_performance_reconstruction | source_selected=no | ds_review=keep,
Wait,B,MoBind: Motion Binding for Fine-Grained IMU-Video Pose Alignment,CVPR 2026,,https://arxiv.org/abs/2602.19004,CVPR_2026_human_recon_pose_supplement_20260612 | Other Vision / Applications | reasons=human_pose | source_selected=no | ds_review=keep,
Wait,B,Motion-Aware Animatable Gaussian Avatars Deblurring,CVPR 2026,,https://arxiv.org/abs/2411.16758,CVPR_2026_human_recon_pose_supplement_20260612 | 3D Vision / Geometry / Reconstruction | reasons=avatar_performance_reconstruction | source_selected=no | ds_review=keep,
Wait,B,Occluded Human Body Capture with Frequency Domain Denoising Prior,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Huang_Occluded_Human_Body_Capture_with_Frequency_Domain_Denoising_Prior_CVPR_2026_paper.html,"CVPR_2026_human_recon_pose_supplement_20260612 | Representation / Self-Supervised / Transfer | reasons=human_mesh_motion_capture,human_reconstruction | source_selected=no | ds_review=keep",
Wait,B,PhysHead: Simulation-Ready Gaussian Head Avatars,CVPR 2026,,https://arxiv.org/abs/2604.06467,CVPR_2026_human_recon_pose_supplement_20260612 | 3D Vision / Geometry / Reconstruction | reasons=avatar_performance_reconstruction | source_selected=no | ds_review=keep,
Wait,B,PhysHO: Physics-Based Dynamic 3D Gaussian Human and Object from Monocular Video,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Jiang_PhysHO_Physics-Based_Dynamic_3D_Gaussian_Human_and_Object_from_Monocular_CVPR_2026_paper.html,CVPR_2026_human_recon_pose_supplement_20260612 | 3D Vision / Geometry / Reconstruction | reasons=human_reconstruction | source_selected=no | ds_review=keep,
Wait,B,ProgressiveAvatars: Progressive Animatable 3D Gaussian Avatars,CVPR 2026,,https://arxiv.org/abs/2603.16447,CVPR_2026_human_recon_pose_supplement_20260612 | 3D Vision / Geometry / Reconstruction | reasons=avatar_performance_reconstruction | source_selected=no | ds_review=keep,
Wait,B,RHINO: Reconstructing Human Interactions with Novel Objects from Monocular Videos,CVPR 2026,,https://arxiv.org/abs/2605.17014,CVPR_2026_human_recon_pose_supplement_20260612 | Other Vision / Applications | reasons=human_reconstruction | source_selected=no | ds_review=keep,
Wait,B,SMVRT: Implicit Human 3D Modeling Using Sparse Multi-View Volumetric Reconstruction with Transformer Fusion,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Fan_SMVRT_Implicit_Human_3D_Modeling_Using_Sparse_Multi-View_Volumetric_Reconstruction_CVPR_2026_paper.html,CVPR_2026_human_recon_pose_supplement_20260612 | 3D Vision / Geometry / Reconstruction | reasons=human_reconstruction | source_selected=no | ds_review=keep,
Wait,B,STAvatar: Soft Binding and Temporal Density Control for Monocular 3D Head Avatars Reconstruction,CVPR 2026,,https://arxiv.org/abs/2511.19854,CVPR_2026_human_recon_pose_supplement_20260612 | 3D Vision / Geometry / Reconstruction | reasons=avatar_performance_reconstruction | source_selected=no | ds_review=keep,
Wait,B,Tavatar: Topology-Aware Gaussian Attribute Derivation for Animatable Human Avatars,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Luo_Tavatar_Topology-Aware_Gaussian_Attribute_Derivation_for_Animatable_Human_Avatars_CVPR_2026_paper.html,"CVPR_2026_human_recon_pose_supplement_20260612 | 3D Vision / Geometry / Reconstruction | reasons=avatar_performance_reconstruction,human_reconstruction | source_selected=no | ds_review=keep",
Wait,B,TeHOR: Text-Guided 3D Human and Object Reconstruction with Textures,CVPR 2026,,https://arxiv.org/abs/2602.19679,CVPR_2026_human_recon_pose_supplement_20260612 | 3D Vision / Geometry / Reconstruction | reasons=human_reconstruction | source_selected=no | ds_review=keep,
Wait,B,TokenHand: Discrete Token Representation for Efficient Hand Mesh Reconstruction,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/He_TokenHand_Discrete_Token_Representation_for_Efficient_Hand_Mesh_Reconstruction_CVPR_2026_paper.html,CVPR_2026_human_recon_pose_supplement_20260612 | 3D Vision / Geometry / Reconstruction | reasons=human_reconstruction | source_selected=no | ds_review=keep,
Wait,B,"TROPHIES: Temporal Reconstruction of Places, Humans, and Cameras from Multi-view Videos",CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Liu_TROPHIES_Temporal_Reconstruction_of_Places_Humans_and_Cameras_from_Multi-view_CVPR_2026_paper.html,CVPR_2026_human_recon_pose_supplement_20260612 | 3D Vision / Geometry / Reconstruction | reasons=human_reconstruction | source_selected=no | ds_review=keep,
Wait,B,UniLS: End-to-End Audio-Driven Avatars for Unified Listening and Speaking,CVPR 2026,,https://arxiv.org/abs/2512.09327,CVPR_2026_human_recon_pose_supplement_20260612 | Generative Models / Diffusion / Unified Gen-Understanding | reasons=avatar_performance_reconstruction | source_selected=no | ds_review=keep,
Wait,B,Zero-Shot Reconstruction of Animatable 3D Avatars with Cloth Dynamics from a Single Image,CVPR 2026,,https://arxiv.org/abs/2603.14772,CVPR_2026_human_recon_pose_supplement_20260612 | 3D Vision / Geometry / Reconstruction | reasons=avatar_performance_reconstruction | source_selected=no | ds_review=keep,
