date	experiment_path	evaluator	protocol	data_source	condition_pair	prompt_pair	n/evaluable	coverage	role	used_for	limitations	event_count	event_order	target_dimension	n_unique_events	mean_cosine_similarity	std_cosine_similarity	mean_cosine_distance	std_cosine_distance	min_cosine_distance	max_cosine_distance
2026-05-17	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	clip/ViT-B/32_text_embedding_similarity_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	eval/text_embedding/p1_full_single_embedding_similarity.tsv		full/single_event	2/2 unique decomposed events	P1 unique event rows collapsed across model labels because this is a text-side prompt embedding probe.	diagnostic	observation	CLIP text embedding similarity only; not generator propagation, motion correctness, or final evaluator evidence.	3	3	order_transition	2	0.926182	0.017732	0.073818	0.017732	0.056086	0.091549
2026-05-17	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	clip/ViT-B/32_text_embedding_similarity_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	eval/text_embedding/p1_full_single_embedding_similarity.tsv		full/single_event	1/1 unique decomposed events	P1 unique event rows collapsed across model labels because this is a text-side prompt embedding probe.	diagnostic	observation	CLIP text embedding similarity only; not generator propagation, motion correctness, or final evaluator evidence.	4	1	direction_path	1	0.889398	0.000000	0.110602	0.000000	0.110602	0.110602
2026-05-17	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	clip/ViT-B/32_text_embedding_similarity_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	eval/text_embedding/p1_full_single_embedding_similarity.tsv		full/single_event	1/1 unique decomposed events	P1 unique event rows collapsed across model labels because this is a text-side prompt embedding probe.	diagnostic	observation	CLIP text embedding similarity only; not generator propagation, motion correctness, or final evaluator evidence.	4	1	left_right	1	0.926666	0.000000	0.073334	0.000000	0.073334	0.073334
2026-05-17	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	clip/ViT-B/32_text_embedding_similarity_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	eval/text_embedding/p1_full_single_embedding_similarity.tsv		full/single_event	1/1 unique decomposed events	P1 unique event rows collapsed across model labels because this is a text-side prompt embedding probe.	diagnostic	observation	CLIP text embedding similarity only; not generator propagation, motion correctness, or final evaluator evidence.	4	2	count_duration	1	0.876959	0.000000	0.123041	0.000000	0.123041	0.123041
2026-05-17	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	clip/ViT-B/32_text_embedding_similarity_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	eval/text_embedding/p1_full_single_embedding_similarity.tsv		full/single_event	1/1 unique decomposed events	P1 unique event rows collapsed across model labels because this is a text-side prompt embedding probe.	diagnostic	observation	CLIP text embedding similarity only; not generator propagation, motion correctness, or final evaluator evidence.	4	2	left_right	1	0.911433	0.000000	0.088567	0.000000	0.088567	0.088567
2026-05-17	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	clip/ViT-B/32_text_embedding_similarity_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	eval/text_embedding/p1_full_single_embedding_similarity.tsv		full/single_event	1/1 unique decomposed events	P1 unique event rows collapsed across model labels because this is a text-side prompt embedding probe.	diagnostic	observation	CLIP text embedding similarity only; not generator propagation, motion correctness, or final evaluator evidence.	4	3	direction_path	1	0.917338	0.000000	0.082662	0.000000	0.082662	0.082662
2026-05-17	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	clip/ViT-B/32_text_embedding_similarity_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	eval/text_embedding/p1_full_single_embedding_similarity.tsv		full/single_event	1/1 unique decomposed events	P1 unique event rows collapsed across model labels because this is a text-side prompt embedding probe.	diagnostic	observation	CLIP text embedding similarity only; not generator propagation, motion correctness, or final evaluator evidence.	4	3	posture	1	0.874337	0.000000	0.125663	0.000000	0.125663	0.125663
2026-05-17	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	clip/ViT-B/32_text_embedding_similarity_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	eval/text_embedding/p1_full_single_embedding_similarity.tsv		full/single_event	1/1 unique decomposed events	P1 unique event rows collapsed across model labels because this is a text-side prompt embedding probe.	diagnostic	observation	CLIP text embedding similarity only; not generator propagation, motion correctness, or final evaluator evidence.	4	4	count_duration	1	0.893083	0.000000	0.106917	0.000000	0.106917	0.106917
2026-05-17	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	clip/ViT-B/32_text_embedding_similarity_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	eval/text_embedding/p1_full_single_embedding_similarity.tsv		full/single_event	1/1 unique decomposed events	P1 unique event rows collapsed across model labels because this is a text-side prompt embedding probe.	diagnostic	observation	CLIP text embedding similarity only; not generator propagation, motion correctness, or final evaluator evidence.	4	4	direction_path	1	0.897451	0.000000	0.102549	0.000000	0.102549	0.102549
2026-05-17	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	clip/ViT-B/32_text_embedding_similarity_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	eval/text_embedding/p1_full_single_embedding_similarity.tsv		full/single_event	1/1 unique decomposed events	P1 unique event rows collapsed across model labels because this is a text-side prompt embedding probe.	diagnostic	observation	CLIP text embedding similarity only; not generator propagation, motion correctness, or final evaluator evidence.	5	1	direction_path	1	0.927382	0.000000	0.072618	0.000000	0.072618	0.072618
2026-05-17	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	clip/ViT-B/32_text_embedding_similarity_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	eval/text_embedding/p1_full_single_embedding_similarity.tsv		full/single_event	1/1 unique decomposed events	P1 unique event rows collapsed across model labels because this is a text-side prompt embedding probe.	diagnostic	observation	CLIP text embedding similarity only; not generator propagation, motion correctness, or final evaluator evidence.	5	1	posture	1	0.891156	0.000000	0.108844	0.000000	0.108844	0.108844
2026-05-17	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	clip/ViT-B/32_text_embedding_similarity_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	eval/text_embedding/p1_full_single_embedding_similarity.tsv		full/single_event	1/1 unique decomposed events	P1 unique event rows collapsed across model labels because this is a text-side prompt embedding probe.	diagnostic	observation	CLIP text embedding similarity only; not generator propagation, motion correctness, or final evaluator evidence.	5	2	body_part	1	0.877234	0.000000	0.122766	0.000000	0.122766	0.122766
2026-05-17	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	clip/ViT-B/32_text_embedding_similarity_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	eval/text_embedding/p1_full_single_embedding_similarity.tsv		full/single_event	1/1 unique decomposed events	P1 unique event rows collapsed across model labels because this is a text-side prompt embedding probe.	diagnostic	observation	CLIP text embedding similarity only; not generator propagation, motion correctness, or final evaluator evidence.	5	2	speed_transition	1	0.789894	0.000000	0.210106	0.000000	0.210106	0.210106
2026-05-17	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	clip/ViT-B/32_text_embedding_similarity_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	eval/text_embedding/p1_full_single_embedding_similarity.tsv		full/single_event	1/1 unique decomposed events	P1 unique event rows collapsed across model labels because this is a text-side prompt embedding probe.	diagnostic	observation	CLIP text embedding similarity only; not generator propagation, motion correctness, or final evaluator evidence.	5	3	direction_path	1	0.929779	0.000000	0.070221	0.000000	0.070221	0.070221
2026-05-17	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	clip/ViT-B/32_text_embedding_similarity_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	eval/text_embedding/p1_full_single_embedding_similarity.tsv		full/single_event	1/1 unique decomposed events	P1 unique event rows collapsed across model labels because this is a text-side prompt embedding probe.	diagnostic	observation	CLIP text embedding similarity only; not generator propagation, motion correctness, or final evaluator evidence.	5	3	speed_transition	1	0.824449	0.000000	0.175551	0.000000	0.175551	0.175551
2026-05-17	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	clip/ViT-B/32_text_embedding_similarity_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	eval/text_embedding/p1_full_single_embedding_similarity.tsv		full/single_event	1/1 unique decomposed events	P1 unique event rows collapsed across model labels because this is a text-side prompt embedding probe.	diagnostic	observation	CLIP text embedding similarity only; not generator propagation, motion correctness, or final evaluator evidence.	5	4	count_duration	1	0.924061	0.000000	0.075939	0.000000	0.075939	0.075939
2026-05-17	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	clip/ViT-B/32_text_embedding_similarity_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	eval/text_embedding/p1_full_single_embedding_similarity.tsv		full/single_event	1/1 unique decomposed events	P1 unique event rows collapsed across model labels because this is a text-side prompt embedding probe.	diagnostic	observation	CLIP text embedding similarity only; not generator propagation, motion correctness, or final evaluator evidence.	5	4	stop_go	1	0.754820	0.000000	0.245180	0.000000	0.245180	0.245180
2026-05-17	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	clip/ViT-B/32_text_embedding_similarity_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	eval/text_embedding/p1_full_single_embedding_similarity.tsv		full/single_event	1/1 unique decomposed events	P1 unique event rows collapsed across model labels because this is a text-side prompt embedding probe.	diagnostic	observation	CLIP text embedding similarity only; not generator propagation, motion correctness, or final evaluator evidence.	5	5	count_duration	1	0.934582	0.000000	0.065418	0.000000	0.065418	0.065418
2026-05-17	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516	clip/ViT-B/32_text_embedding_similarity_compact	paperIDEAs/MoDebug/experiments/active/p1_text_pressure_20260516/protocols/eval_contract.md	eval/text_embedding/p1_full_single_embedding_similarity.tsv		full/single_event	1/1 unique decomposed events	P1 unique event rows collapsed across model labels because this is a text-side prompt embedding probe.	diagnostic	observation	CLIP text embedding similarity only; not generator propagation, motion correctness, or final evaluator evidence.	5	5	posture	1	0.923441	0.000000	0.076559	0.000000	0.076559	0.076559
