run_id,model,outcome,sample_id,f_name,f_space,z_kind,axis_names,delta_shape,metric_value,delta_abs_max,delta_mean,delta_std,valid_ratio,outcome_bin,delta_numel,delta_ndim,baseline,annotation_key,annotation_found,annotation_is_problem,problem_description,prompt_text,primary_bucket,secondary_buckets,source_split,annotation_role,annotation_updated,failure_factor,annotation_trace_consistent
20260528_182842_mogents_failure_017_sample_trace,MoGenTS,failure,hml_orig100_train_018__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 23, 6, 256]",1.2372338594899992,74.56283569335938,7.131531238555908,18.200519561767578,1.0,1,35328,4,mogents,hml_orig100_train_018__full::mogents,True,True,用了双手,a standing person performs a cartwheel starting with their left hand,stop_go,,train,human_diagnostic_problem_description,2026-05-28T18:24:29,,True
20260528_182842_mogents_failure_018_sample_trace,MoGenTS,failure,hml_orig100_train_019__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 49, 6, 256]",1.1143948476586105,82.26689147949219,2.505967855453491,12.193443298339844,1.0,1,75264,4,mogents,hml_orig100_train_019__full::mogents,True,True,轨迹不是8,"a person quickly sprints in a figure-eight pattern, stopping briefly at each side to carefully turn.",stop_go,,train,human_diagnostic_problem_description,2026-05-28T18:24:31,,True
20260528_182842_mogents_failure_027_sample_trace,MoGenTS,failure,hml_orig100_train_028__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 49, 6, 256]",1.1750019797302917,64.21540832519531,-2.5965957641601562,12.86589241027832,1.0,1,75264,4,mogents,hml_orig100_train_028__full::mogents,True,True,没回到远处放置,"a persons walks forward, bends down to pick something up, then walks in a circle and sets it back down.",sit_squat_posture,,train,human_diagnostic_problem_description,2026-05-28T18:24:42,,True
20260528_182842_mogents_failure_032_sample_trace,MoGenTS,failure,hml_orig100_train_033__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 49, 6, 256]",1.3023000665967277,68.87458038330078,-4.261908531188965,13.908967971801758,1.0,1,75264,4,mogents,hml_orig100_train_033__full::mogents,True,True,右腿踢的,the woman angerily kicked at the ground with her left foot.,jump_kick,,train,human_diagnostic_problem_description,2026-05-28T18:24:53,,True
20260528_182842_mogents_failure_034_sample_trace,MoGenTS,failure,hml_orig100_train_035__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 10, 6, 256]",1.163911501232796,109.59658813476562,14.26927661895752,25.587127685546875,1.0,1,15360,4,mogents,hml_orig100_train_035__full::mogents,True,True,身体扭动异常,a person kicked with the left leg,jump_kick,,train,human_diagnostic_problem_description,2026-05-26T23:08:13,,True
20260528_182842_mogents_failure_040_sample_trace,MoGenTS,failure,hml_orig100_train_041__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 49, 6, 256]",1.5355438631261462,69.51187896728516,-3.795414686203003,16.727535247802734,1.0,1,75264,4,mogents,hml_orig100_train_041__full::mogents,True,True,甩的右手,a person acting traumatic throwing his left hand.,upper_body_gesture,,train,human_diagnostic_problem_description,2026-05-26T23:11:14,,True
20260528_182842_mogents_failure_049_sample_trace,MoGenTS,failure,hml_orig100_train_050__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 8, 6, 256]",0.9894343841939501,106.3904800415039,-4.037001132965088,25.045669555664062,1.0,1,12288,4,mogents,hml_orig100_train_050__full::mogents,True,True,缺少turns to the left,a man turns to the left and reaches up to grab something with his left hands.,object_interaction,,train,human_diagnostic_problem_description,2026-05-26T23:24:49,,True
20260528_182842_mogents_failure_064_sample_trace,MoGenTS,failure,hml_orig100_train_065__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 49, 6, 256]",0.9893275432241001,82.12187194824219,2.2304272651672363,10.823813438415527,1.0,1,75264,4,mogents,hml_orig100_train_065__full::mogents,True,True,朝向一直在变,"a man emulates jogging, shuffling around in a couple counterclockwise circles while keeping his body facing forward the whole time.",multi_action_composition,,train,human_diagnostic_problem_description,2026-05-26T23:42:32,,True
20260528_182842_mogents_failure_066_sample_trace,MoGenTS,failure,hml_orig100_train_067__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 48, 6, 256]",1.2153222498186578,67.96978759765625,0.9502716064453125,13.63159465789795,1.0,1,73728,4,mogents,hml_orig100_train_067__full::mogents,True,True,没有back回原位,"a person bends down and crawls forward, then back and then stands up.",multi_action_composition,,train,human_diagnostic_problem_description,2026-05-26T23:43:51,,True
20260528_182842_mogents_failure_068_sample_trace,MoGenTS,failure,hml_orig100_train_069__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 49, 6, 256]",0.9352637165264686,46.15122985839844,-1.2159322500228882,10.376315116882324,1.0,1,75264,4,mogents,hml_orig100_train_069__full::mogents,True,True,a man is standing and bending down and reaches down with his left hand then to the right with his right hand.,"a man is standing and reaches down to the left with his left hand then to the right with his right hand, and then the left again.",multi_action_composition,,train,human_diagnostic_problem_description,2026-05-26T23:50:27,,True
20260528_182842_mogents_failure_072_sample_trace,MoGenTS,failure,hml_orig100_train_073__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 14, 6, 256]",0.9858088700616987,80.22970581054688,3.7574939727783203,18.548179626464844,1.0,1,21504,4,mogents,hml_orig100_train_073__full::mogents,True,True,踢左腿,"a man stands with feet apart left arm stretched and right arm bent, then lunges forward and kicks his right foot into the air.",dance_exercise,,train,human_diagnostic_problem_description,2026-05-26T23:54:06,,True
20260528_182842_mogents_failure_074_sample_trace,MoGenTS,failure,hml_orig100_train_075__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 49, 6, 256]",1.4752715929150986,90.83100128173828,0.7509642839431763,16.462326049804688,1.0,1,75264,4,mogents,hml_orig100_train_075__full::mogents,True,True,man has two hands on the ground facing downward with the left leg in front and the right leg stretched behind; kicks right leg behind as well and went intp a downward facing dog position.,man has two hands on the ground facing downward with the right leg in front and the left leg stretched behind; kicks right leg behind as well and went intp a downward facing dog position.,dance_exercise,,train,human_diagnostic_problem_description,2026-05-26T23:57:09,,True
20260528_182842_mogents_failure_077_sample_trace,MoGenTS,failure,hml_orig100_train_078__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 41, 6, 256]",1.558877311834002,67.46611785888672,0.41017141938209534,14.40350341796875,1.0,1,62976,4,mogents,hml_orig100_train_078__full::mogents,True,True,person dances energetically on screen and throws both arms in the sky repeatedly.,person dances energetically on screen and throws left arm in the sky repeatedly.,dance_exercise,,train,human_diagnostic_problem_description,2026-05-26T23:59:53,,True
20260528_182842_mogents_failure_078_sample_trace,MoGenTS,failure,hml_orig100_train_079__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 49, 6, 256]",1.2349069795849958,56.9300537109375,5.455841064453125,12.66969108581543,1.0,1,75264,4,mogents,hml_orig100_train_079__full::mogents,True,True,"a standing woman gracefully dances forward, from the viewer's left to right, tapping toes and swaying arms in synchrony.","a standing  woman gracefully dances forward, from the viewer's right to left, tapping toes and swaying arms in synchrony.",dance_exercise,,train,human_diagnostic_problem_description,2026-05-27T00:00:24,,True
20260528_182842_mogents_failure_081_sample_trace,MoGenTS,failure,hml_orig100_test_002__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 9, 6, 256]",0.9992763652690194,86.41594696044922,10.883705139160156,23.100833892822266,1.0,1,13824,4,mogents,hml_orig100_test_002__full::mogents,True,True,直线跑,a person who is poised to run steps to his right with is right foot and dashes to his left.,simple_locomotion,,test,human_diagnostic_problem_description,2026-05-27T00:02:15,,True
20260528_182842_mogents_failure_082_sample_trace,MoGenTS,failure,hml_orig100_test_003__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 24, 6, 256]",1.0262092032390584,64.57940673828125,3.614071846008301,14.47050666809082,1.0,1,36864,4,mogents,hml_orig100_test_003__full::mogents,True,True,a person stands normally then begins hops on their left foot while their right foot is elevated then stops and stands normally.,a person stands normally then begins hops on their right foot while their left foot is elevated then stops and stands normally.,direction_turn,,test,human_diagnostic_problem_description,2026-05-27T00:03:14,,True
20260528_182842_mogents_failure_092_sample_trace,MoGenTS,failure,hml_orig100_test_013__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 49, 6, 256]",1.3035331024677297,65.73667907714844,-5.512636184692383,13.477204322814941,1.0,1,75264,4,mogents,hml_orig100_test_013__full::mogents,True,True,"a person lowers the right hand bending down slightly to examine something, then straightens and raises something to his face with the right hand.","a person lowers the right hand bending down slightly to examine something, then straightens and raises something to his face with the left hand.",object_interaction,,test,human_diagnostic_problem_description,2026-05-27T00:12:54,,True
20260528_182842_mogents_failure_099_sample_trace,MoGenTS,failure,hml_orig100_test_020__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 49, 6, 256]",1.165306363792707,60.680564880371094,-2.9541070461273193,12.677358627319336,1.0,1,75264,4,mogents,hml_orig100_test_020__full::mogents,True,True,没有holding the posture for several seconds保持姿势不动数秒,"a man slowly raises both arms high over his head in a stretch, holding the posture for several seconds, with his right arm stretched out to his side.",dance_exercise,,test,human_diagnostic_problem_description,2026-05-27T00:21:34,,True
20260528_182842_mogents_success_000_sample_trace,MoGenTS,success,hml_orig100_train_001__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 21, 6, 256]",1.2172618147287988,99.50128173828125,9.483291625976562,20.292123794555664,1.0,0,32256,4,mogents,hml_orig100_train_001__full::mogents,True,False,,a person slides from side to side 2 times then takes off running while looking forward the whole time,simple_locomotion,,train,human_diagnostic_problem_description,2026-05-28T18:24:04,,True
20260528_182842_mogents_success_003_sample_trace,MoGenTS,success,hml_orig100_train_004__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 27, 6, 256]",1.2083350587503012,79.11637115478516,-2.9370791912078857,15.593098640441895,1.0,0,41472,4,mogents,hml_orig100_train_004__full::mogents,True,False,,a person walks and turns right.,simple_locomotion,,train,human_diagnostic_problem_description,2026-05-28T18:24:09,,True
20260528_182842_mogents_success_004_sample_trace,MoGenTS,success,hml_orig100_train_005__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 20, 6, 256]",0.8782965041935634,73.70464324951172,1.6442536115646362,16.69318389892578,1.0,0,30720,4,mogents,hml_orig100_train_005__full::mogents,True,False,,the person is stepping forward.,simple_locomotion,,train,human_diagnostic_problem_description,2026-05-28T18:24:10,,True
20260528_182842_mogents_success_006_sample_trace,MoGenTS,success,hml_orig100_train_007__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 26, 6, 256]",0.960211355857208,57.20148468017578,0.6170373558998108,12.435591697692871,1.0,0,39936,4,mogents,hml_orig100_train_007__full::mogents,True,False,,a person takes a few steps curving to the left.,simple_locomotion,,train,human_diagnostic_problem_description,2026-05-28T18:24:13,,True
20260528_182842_mogents_success_007_sample_trace,MoGenTS,success,hml_orig100_train_008__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 48, 6, 256]",1.3387220235772164,65.80669403076172,-5.175285339355469,14.134475708007812,1.0,0,73728,4,mogents,hml_orig100_train_008__full::mogents,True,False,,a man walks forward slowly in a jagged line.,simple_locomotion,,train,human_diagnostic_problem_description,2026-05-28T18:24:14,,True
20260528_182842_mogents_success_008_sample_trace,MoGenTS,success,hml_orig100_train_009__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 29, 6, 256]",0.9835423452750565,61.56537628173828,0.16958093643188477,14.797536849975586,1.0,0,44544,4,mogents,hml_orig100_train_009__full::mogents,True,False,,"a person steps back, sits down, stands up and steps forward.",direction_turn,,train,human_diagnostic_problem_description,2026-05-28T18:24:16,,True
20260528_182842_mogents_success_009_sample_trace,MoGenTS,success,hml_orig100_train_010__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 15, 6, 256]",1.269756555771309,108.66290283203125,-4.262795448303223,23.031156539916992,1.0,0,23040,4,mogents,hml_orig100_train_010__full::mogents,True,False,,a person walks at a left bend.,direction_turn,,train,human_diagnostic_problem_description,2026-05-28T18:24:17,,True
20260528_182842_mogents_success_011_sample_trace,MoGenTS,success,hml_orig100_train_012__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 36, 6, 256]",1.3650715934728028,65.980224609375,0.5522158741950989,13.689122200012207,1.0,0,55296,4,mogents,hml_orig100_train_012__full::mogents,True,False,,a man throws object with his left hand.,direction_turn,,train,human_diagnostic_problem_description,2026-05-28T18:24:20,,True
20260528_182842_mogents_success_012_sample_trace,MoGenTS,success,hml_orig100_train_013__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 26, 6, 256]",1.143059799221029,60.32870101928711,-1.6516481637954712,14.729540824890137,1.0,0,39936,4,mogents,hml_orig100_train_013__full::mogents,True,False,,the man walk and turn like a haf sercle and stops.,direction_turn,,train,human_diagnostic_problem_description,2026-05-28T18:24:21,,True
20260528_182842_mogents_success_013_sample_trace,MoGenTS,success,hml_orig100_train_014__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 20, 6, 256]",0.9895976454568721,82.25424194335938,2.4382171630859375,18.7416934967041,1.0,0,30720,4,mogents,hml_orig100_train_014__full::mogents,True,False,,a person walks and does a 180 degree turn.,direction_turn,,train,human_diagnostic_problem_description,2026-05-28T18:24:23,,True
20260528_182842_mogents_success_014_sample_trace,MoGenTS,success,hml_orig100_train_015__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 49, 6, 256]",1.4566092813943203,60.26361083984375,-6.244438171386719,15.025038719177246,1.0,0,75264,4,mogents,hml_orig100_train_015__full::mogents,True,False,,"a person standing in place holds a ball with both hands, then throws the ball with left hand and catches the ball with both hands, then throws the ball and catches the ball again.",direction_turn,,train,human_diagnostic_problem_description,2026-05-28T18:24:25,,True
20260528_182842_mogents_success_015_sample_trace,MoGenTS,success,hml_orig100_train_016__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 35, 6, 256]",1.4135651024351403,71.17206573486328,-4.5367512702941895,12.182528495788574,1.0,0,53760,4,mogents,hml_orig100_train_016__full::mogents,True,False,,a person walks to the right in a partial circle.,direction_turn,,train,human_diagnostic_problem_description,2026-05-28T18:24:26,,True
20260528_182842_mogents_success_016_sample_trace,MoGenTS,success,hml_orig100_train_017__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 49, 6, 256]",1.5523742497159692,67.49529266357422,-5.7025370597839355,16.376249313354492,1.0,0,75264,4,mogents,hml_orig100_train_017__full::mogents,True,False,,person standing begins moving arms with hands coming together then apart and then raising arms above head,stop_go,,train,human_diagnostic_problem_description,2026-05-28T18:24:27,,True
20260528_182842_mogents_success_019_sample_trace,MoGenTS,success,hml_orig100_train_020__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 49, 6, 256]",0.8946565120578363,51.06464767456055,1.6700786352157593,9.853180885314941,1.0,0,75264,4,mogents,hml_orig100_train_020__full::mogents,True,False,,the man is standing still like a statue.,stop_go,,train,human_diagnostic_problem_description,2026-05-28T18:24:32,,True
20260528_182842_mogents_success_020_sample_trace,MoGenTS,success,hml_orig100_train_021__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 15, 6, 256]",0.5945071538971693,40.082542419433594,-1.5039608478546143,10.862849235534668,1.0,0,23040,4,mogents,hml_orig100_train_021__full::mogents,True,False,,a standing person scratches their head.,stop_go,,train,human_diagnostic_problem_description,2026-05-28T18:24:34,,True
20260528_182842_mogents_success_021_sample_trace,MoGenTS,success,hml_orig100_train_022__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 28, 6, 256]",1.1021966771802414,105.59417724609375,-2.972215175628662,15.365633010864258,1.0,0,43008,4,mogents,hml_orig100_train_022__full::mogents,True,False,,robot walking forward slowly and then stopped.,stop_go,,train,human_diagnostic_problem_description,2026-05-28T18:24:35,,True
20260528_182842_mogents_success_022_sample_trace,MoGenTS,success,hml_orig100_train_023__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 19, 6, 256]",0.9635482879310188,106.71461486816406,2.2719244956970215,18.265968322753906,1.0,0,29184,4,mogents,hml_orig100_train_023__full::mogents,True,False,,a person is walking taking big steps across the floor then suddenly stops.,stop_go,,train,human_diagnostic_problem_description,2026-05-28T18:24:36,,True
20260528_182842_mogents_success_023_sample_trace,MoGenTS,success,hml_orig100_train_024__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 49, 6, 256]",1.380011194813607,66.50975799560547,-4.667453765869141,14.691758155822754,1.0,0,75264,4,mogents,hml_orig100_train_024__full::mogents,True,False,,"a figure walks in a straight line, turns and sits facing away, then stands and walks away",stop_go,,train,human_diagnostic_problem_description,2026-05-28T18:24:37,,True
20260528_182842_mogents_success_024_sample_trace,MoGenTS,success,hml_orig100_train_025__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 49, 6, 256]",1.2079200333742532,73.0228271484375,-3.265841245651245,13.091814041137695,1.0,0,75264,4,mogents,hml_orig100_train_025__full::mogents,True,False,,"a person picks something up, walks forward, sets it down, walks back and squats down.",sit_squat_posture,,train,human_diagnostic_problem_description,2026-05-28T18:24:39,,True
20260528_182842_mogents_success_025_sample_trace,MoGenTS,success,hml_orig100_train_026__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 38, 6, 256]",1.8843856327223905,76.88594818115234,-8.096585273742676,18.13578987121582,1.0,0,58368,4,mogents,hml_orig100_train_026__full::mogents,True,False,,person take a step back then sits down then getting back up and stepping forward.,sit_squat_posture,,train,human_diagnostic_problem_description,2026-05-28T18:24:40,,True
20260528_182842_mogents_success_026_sample_trace,MoGenTS,success,hml_orig100_train_027__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 44, 6, 256]",2.623862511014734,83.26851654052734,-9.154861450195312,19.26088523864746,1.0,0,67584,4,mogents,hml_orig100_train_027__full::mogents,True,False,,a person bends and holds their head with their left hand.,sit_squat_posture,,train,human_diagnostic_problem_description,2026-05-28T18:24:41,,True
20260528_182842_mogents_success_028_sample_trace,MoGenTS,success,hml_orig100_train_029__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 49, 6, 256]",1.0214765417659937,63.385276794433594,-1.1670507192611694,11.35051155090332,1.0,0,75264,4,mogents,hml_orig100_train_029__full::mogents,True,False,,a person sits down with both hands on his knees.,sit_squat_posture,,train,human_diagnostic_problem_description,2026-05-28T18:24:44,,True
20260528_182842_mogents_success_029_sample_trace,MoGenTS,success,hml_orig100_train_030__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 41, 6, 256]",1.6186518628817381,70.39825439453125,-3.488720417022705,14.549439430236816,1.0,0,62976,4,mogents,hml_orig100_train_030__full::mogents,True,False,,"a man walks over , sits down , then walks back.",sit_squat_posture,,train,human_diagnostic_problem_description,2026-05-28T18:24:45,,True
20260528_182842_mogents_success_030_sample_trace,MoGenTS,success,hml_orig100_train_031__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 23, 6, 256]",1.1248560668335792,84.42118835449219,3.797417163848877,17.361865997314453,1.0,0,35328,4,mogents,hml_orig100_train_031__full::mogents,True,False,,a man kneels to the ground one leg at a time starting with the right leg,sit_squat_posture,,train,human_diagnostic_problem_description,2026-05-28T18:24:47,,True
20260528_182842_mogents_success_031_sample_trace,MoGenTS,success,hml_orig100_train_032__full,token_logits,time_joint_vocab_logits,time_joint_mask_iteration,"['batch', 'token_time', 'joint_grid_slot', 'codebook']","[1, 49, 6, 256]",1.1000076239118006,58.782135009765625,-1.0398409366607666,12.243500709533691,1.0,0,75264,4,mogents,hml_orig100_train_032__full::mogents,True,False,,a person sitting quickly reaches around them and grabs objects.,sit_squat_posture,,train,human_diagnostic_problem_description,2026-05-28T18:24:48,,True
