updated,model,prompt_id,base_id,category,condition,label,description,prompt,video_path,native_output_path,trace_summary_path,role,limitations
2026-05-11T18:21:54,eventt2m,m0v2_omission_order_002__drop,m0v2_omission_order_002,omission_order,drop,OK,,"a person stands up, then kneels down",/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/videos/006_m0v2_omission_order_002__drop.mp4,/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/native_outputs/joints/006_m0v2_omission_order_002__drop.npy,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:54,eventt2m,m0v2_omission_order_002__full,m0v2_omission_order_002,omission_order,full,OK,,"a person stands up, claps, then kneels down",/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/videos/005_m0v2_omission_order_002__full.mp4,/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/native_outputs/joints/005_m0v2_omission_order_002__full.npy,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:54,eventt2m,m0v2_omission_order_002__repeat,m0v2_omission_order_002,omission_order,repeat,OK,,"a person stands up, claps twice, then kneels down",/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/videos/009_m0v2_omission_order_002__repeat.mp4,/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/native_outputs/joints/009_m0v2_omission_order_002__repeat.npy,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:54,eventt2m,m0v2_omission_order_002__replace,m0v2_omission_order_002,omission_order,replace,OK,,"a person stands up, waves, then kneels down",/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/videos/007_m0v2_omission_order_002__replace.mp4,/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/native_outputs/joints/007_m0v2_omission_order_002__replace.npy,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:54,eventt2m,m0v2_omission_order_002__shuffle,m0v2_omission_order_002,omission_order,shuffle,OK,,"a person kneels down, claps, then stands up",/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/videos/008_m0v2_omission_order_002__shuffle.mp4,/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/native_outputs/joints/008_m0v2_omission_order_002__shuffle.npy,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:55,eventt2m,m0v2_omission_order_003__drop,m0v2_omission_order_003,omission_order,drop,OK,,"a person walks backward, then turns around",/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/videos/011_m0v2_omission_order_003__drop.mp4,/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/native_outputs/joints/011_m0v2_omission_order_003__drop.npy,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:55,eventt2m,m0v2_omission_order_003__full,m0v2_omission_order_003,omission_order,full,OK,,"a person walks backward, jumps once, then turns around",/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/videos/010_m0v2_omission_order_003__full.mp4,/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/native_outputs/joints/010_m0v2_omission_order_003__full.npy,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:55,eventt2m,m0v2_omission_order_003__repeat,m0v2_omission_order_003,omission_order,repeat,OK,,"a person walks backward, jumps twice, then turns around",/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/videos/014_m0v2_omission_order_003__repeat.mp4,/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/native_outputs/joints/014_m0v2_omission_order_003__repeat.npy,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:55,eventt2m,m0v2_omission_order_003__replace,m0v2_omission_order_003,omission_order,replace,OK,,"a person walks backward, kicks once, then turns around",/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/videos/012_m0v2_omission_order_003__replace.mp4,/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/native_outputs/joints/012_m0v2_omission_order_003__replace.npy,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:55,eventt2m,m0v2_omission_order_003__shuffle,m0v2_omission_order_003,omission_order,shuffle,OK,,"a person turns around, jumps once, then walks backward",/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/videos/013_m0v2_omission_order_003__shuffle.mp4,/data/Life Me/ResearchWY Vault/artifacts/modebug_battery_m0_v2_20260508/archived_legacy_m0_v2_20260510/results/eventt2m/native_outputs/joints/013_m0v2_omission_order_003__shuffle.npy,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:57,mogents,m0v2_frequency_001__drop,m0v2_frequency_001,frequency,drop,OK,,a person jumps once and then waves one hand,,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:57,mogents,m0v2_frequency_001__full,m0v2_frequency_001,frequency,full,OK,,a person jumps twice and then waves one hand,,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:57,mogents,m0v2_frequency_001__repeat,m0v2_frequency_001,frequency,repeat,OK,,a person jumps three times and then waves one hand,,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:57,mogents,m0v2_frequency_001__replace,m0v2_frequency_001,frequency,replace,OK,,a person kicks twice and then waves one hand,,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:57,mogents,m0v2_frequency_001__shuffle,m0v2_frequency_001,frequency,shuffle,OK,,a person waves one hand and then jumps twice,,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:53,mogents,m0v2_omission_order_001__drop,m0v2_omission_order_001,omission_order,drop,OK,,"a person walks forward, then sits down",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:53,mogents,m0v2_omission_order_001__full,m0v2_omission_order_001,omission_order,full,OK,,"a person walks forward, turns left, then sits down",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:53,mogents,m0v2_omission_order_001__repeat,m0v2_omission_order_001,omission_order,repeat,OK,,"a person walks forward, turns left twice, then sits down",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:53,mogents,m0v2_omission_order_001__replace,m0v2_omission_order_001,omission_order,replace,OK,,"a person walks forward, turns right, then sits down",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:53,mogents,m0v2_omission_order_001__shuffle,m0v2_omission_order_001,omission_order,shuffle,OK,,"a person sits down, turns left, then walks forward",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:54,mogents,m0v2_omission_order_002__drop,m0v2_omission_order_002,omission_order,drop,OK,,"a person stands up, then kneels down",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:54,mogents,m0v2_omission_order_002__full,m0v2_omission_order_002,omission_order,full,OK,,"a person stands up, claps, then kneels down",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:54,mogents,m0v2_omission_order_002__repeat,m0v2_omission_order_002,omission_order,repeat,OK,,"a person stands up, claps twice, then kneels down",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:54,mogents,m0v2_omission_order_002__replace,m0v2_omission_order_002,omission_order,replace,OK,,"a person stands up, waves, then kneels down",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:54,mogents,m0v2_omission_order_002__shuffle,m0v2_omission_order_002,omission_order,shuffle,OK,,"a person kneels down, claps, then stands up",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:55,mogents,m0v2_omission_order_003__drop,m0v2_omission_order_003,omission_order,drop,OK,,"a person walks backward, then turns around",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:55,mogents,m0v2_omission_order_003__full,m0v2_omission_order_003,omission_order,full,OK,,"a person walks backward, jumps once, then turns around",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:55,mogents,m0v2_omission_order_003__repeat,m0v2_omission_order_003,omission_order,repeat,OK,,"a person walks backward, jumps twice, then turns around",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:55,mogents,m0v2_omission_order_003__replace,m0v2_omission_order_003,omission_order,replace,OK,,"a person walks backward, kicks once, then turns around",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:55,mogents,m0v2_omission_order_003__shuffle,m0v2_omission_order_003,omission_order,shuffle,OK,,"a person turns around, jumps once, then walks backward",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:57,momask,m0v2_frequency_001__drop,m0v2_frequency_001,frequency,drop,OK,,a person jumps once and then waves one hand,,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:57,momask,m0v2_frequency_001__full,m0v2_frequency_001,frequency,full,OK,,a person jumps twice and then waves one hand,,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:57,momask,m0v2_frequency_001__repeat,m0v2_frequency_001,frequency,repeat,OK,,a person jumps three times and then waves one hand,,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:57,momask,m0v2_frequency_001__replace,m0v2_frequency_001,frequency,replace,OK,,a person kicks twice and then waves one hand,,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:57,momask,m0v2_frequency_001__shuffle,m0v2_frequency_001,frequency,shuffle,OK,,a person waves one hand and then jumps twice,,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:53,momask,m0v2_omission_order_001__drop,m0v2_omission_order_001,omission_order,drop,OK,,"a person walks forward, then sits down",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:53,momask,m0v2_omission_order_001__full,m0v2_omission_order_001,omission_order,full,OK,,"a person walks forward, turns left, then sits down",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:53,momask,m0v2_omission_order_001__repeat,m0v2_omission_order_001,omission_order,repeat,OK,,"a person walks forward, turns left twice, then sits down",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:53,momask,m0v2_omission_order_001__replace,m0v2_omission_order_001,omission_order,replace,OK,,"a person walks forward, turns right, then sits down",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:53,momask,m0v2_omission_order_001__shuffle,m0v2_omission_order_001,omission_order,shuffle,OK,,"a person sits down, turns left, then walks forward",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:54,momask,m0v2_omission_order_002__drop,m0v2_omission_order_002,omission_order,drop,OK,,"a person stands up, then kneels down",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:54,momask,m0v2_omission_order_002__full,m0v2_omission_order_002,omission_order,full,OK,,"a person stands up, claps, then kneels down",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:54,momask,m0v2_omission_order_002__repeat,m0v2_omission_order_002,omission_order,repeat,OK,,"a person stands up, claps twice, then kneels down",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:54,momask,m0v2_omission_order_002__replace,m0v2_omission_order_002,omission_order,replace,OK,,"a person stands up, waves, then kneels down",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:54,momask,m0v2_omission_order_002__shuffle,m0v2_omission_order_002,omission_order,shuffle,OK,,"a person kneels down, claps, then stands up",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:55,momask,m0v2_omission_order_003__drop,m0v2_omission_order_003,omission_order,drop,OK,,"a person walks backward, then turns around",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:55,momask,m0v2_omission_order_003__full,m0v2_omission_order_003,omission_order,full,OK,,"a person walks backward, jumps once, then turns around",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:55,momask,m0v2_omission_order_003__repeat,m0v2_omission_order_003,omission_order,repeat,OK,,"a person walks backward, jumps twice, then turns around",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:55,momask,m0v2_omission_order_003__replace,m0v2_omission_order_003,omission_order,replace,OK,,"a person walks backward, kicks once, then turns around",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:55,momask,m0v2_omission_order_003__shuffle,m0v2_omission_order_003,omission_order,shuffle,OK,,"a person turns around, jumps once, then walks backward",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:57,motiongpt,m0v2_frequency_001__drop,m0v2_frequency_001,frequency,drop,OK,,a person jumps once and then waves one hand,,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:57,motiongpt,m0v2_frequency_001__full,m0v2_frequency_001,frequency,full,OK,,a person jumps twice and then waves one hand,,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:57,motiongpt,m0v2_frequency_001__repeat,m0v2_frequency_001,frequency,repeat,OK,,a person jumps three times and then waves one hand,,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:57,motiongpt,m0v2_frequency_001__replace,m0v2_frequency_001,frequency,replace,OK,,a person kicks twice and then waves one hand,,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:57,motiongpt,m0v2_frequency_001__shuffle,m0v2_frequency_001,frequency,shuffle,OK,,a person waves one hand and then jumps twice,,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:53,motiongpt,m0v2_omission_order_001__drop,m0v2_omission_order_001,omission_order,drop,OK,,"a person walks forward, then sits down",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:53,motiongpt,m0v2_omission_order_001__full,m0v2_omission_order_001,omission_order,full,OK,,"a person walks forward, turns left, then sits down",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:53,motiongpt,m0v2_omission_order_001__repeat,m0v2_omission_order_001,omission_order,repeat,OK,,"a person walks forward, turns left twice, then sits down",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:53,motiongpt,m0v2_omission_order_001__replace,m0v2_omission_order_001,omission_order,replace,OK,,"a person walks forward, turns right, then sits down",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:53,motiongpt,m0v2_omission_order_001__shuffle,m0v2_omission_order_001,omission_order,shuffle,OK,,"a person sits down, turns left, then walks forward",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:54,motiongpt,m0v2_omission_order_002__drop,m0v2_omission_order_002,omission_order,drop,OK,,"a person stands up, then kneels down",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:54,motiongpt,m0v2_omission_order_002__full,m0v2_omission_order_002,omission_order,full,OK,,"a person stands up, claps, then kneels down",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:54,motiongpt,m0v2_omission_order_002__repeat,m0v2_omission_order_002,omission_order,repeat,OK,,"a person stands up, claps twice, then kneels down",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:54,motiongpt,m0v2_omission_order_002__replace,m0v2_omission_order_002,omission_order,replace,OK,,"a person stands up, waves, then kneels down",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:54,motiongpt,m0v2_omission_order_002__shuffle,m0v2_omission_order_002,omission_order,shuffle,OK,,"a person kneels down, claps, then stands up",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:55,motiongpt,m0v2_omission_order_003__drop,m0v2_omission_order_003,omission_order,drop,OK,,"a person walks backward, then turns around",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:55,motiongpt,m0v2_omission_order_003__full,m0v2_omission_order_003,omission_order,full,OK,,"a person walks backward, jumps once, then turns around",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:55,motiongpt,m0v2_omission_order_003__repeat,m0v2_omission_order_003,omission_order,repeat,OK,,"a person walks backward, jumps twice, then turns around",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:55,motiongpt,m0v2_omission_order_003__replace,m0v2_omission_order_003,omission_order,replace,OK,,"a person walks backward, kicks once, then turns around",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
2026-05-11T18:21:55,motiongpt,m0v2_omission_order_003__shuffle,m0v2_omission_order_003,omission_order,shuffle,OK,,"a person turns around, jumps once, then walks backward",,,,human_diagnostic_label,Human OK/ERROR label and description are diagnostic and not a final evaluator.
