state,importance,paper_title,venue,project_link_or_github_link,paper_link,sort,pdf_path
Wait,S,ChordEdit: One-Step Low-Energy Transport for Image Editing,CVPR 2026,,https://arxiv.org/abs/2602.19083,CVPR_2026_full_collect_20260612 | Generative Models / Diffusion / Unified Gen-Understanding | score=173 | reason=forced_oral_final_award,
Wait,S,RAVEN: Erasing Invisible Watermarks via Novel View Synthesis,CVPR 2026,,https://arxiv.org/abs/2601.08832,CVPR_2026_full_collect_20260612 | 3D Vision / Geometry / Reconstruction | score=100 | reason=forced_oral,
Wait,S,SmokeSVD: Smoke Reconstruction from A Single View via Progressive Novel View Synthesis and Refinement with Diffusion Models,CVPR 2026,,https://arxiv.org/abs/2507.12156,CVPR_2026_full_collect_20260612 | 3D Vision / Geometry / Reconstruction | score=100 | reason=forced_oral,
Wait,S,SparseWorld-TC: Trajectory-Conditioned Sparse Occupancy World Model,CVPR 2026,,https://arxiv.org/abs/2511.22039,CVPR_2026_full_collect_20260612 | 3D Vision / Geometry / Reconstruction | score=100 | reason=forced_oral,
Wait,A,Memory-Augmented Scene Understanding and Exploration for Open-World Aerial Object-Goal Navigation,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Zhou_Memory-Augmented_Scene_Understanding_and_Exploration_for_Open-World_Aerial_Object-Goal_Navigation_CVPR_2026_paper.html,CVPR_2026_full_collect_20260612 | Agentic / Embodied / Planning | score=99 | reason=forced_oral,
Wait,A,Structural Action Transformer for 3D Dexterous Manipulation,CVPR 2026,,https://arxiv.org/abs/2603.03960,CVPR_2026_full_collect_20260612 | 3D Vision / Geometry / Reconstruction | score=99 | reason=forced_oral,
Wait,A,ANTS: Adaptive Negative Textual Space Shaping for OOD Detection via Test-Time MLLM Understanding and Reasoning,CVPR 2026,,https://arxiv.org/abs/2509.03951,CVPR_2026_full_collect_20260612 | LLM / Vision-Language / Multimodal LMM | score=88 | reason=forced_oral,
Wait,A,CineBrain: A Large-Scale Multi-Modal Audiovisual Brain Dataset for Brain-Conditioned Video Generation,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Gao_CineBrain_A_Large-Scale_Multi-Modal_Audiovisual_Brain_Dataset_for_Brain-Conditioned_Video_CVPR_2026_paper.html,CVPR_2026_full_collect_20260612 | Generative Models / Diffusion / Unified Gen-Understanding | score=88 | reason=forced_oral,
Wait,A,POLAR: A Portrait OLAT Dataset and Generative Framework for Illumination-Aware Face Modeling,CVPR 2026,,https://arxiv.org/abs/2512.13192,CVPR_2026_full_collect_20260612 | Generative Models / Diffusion / Unified Gen-Understanding | score=88 | reason=forced_oral,
Wait,A,"3DReflecNet: A Large-Scale Dataset for 3D Reconstruction of Reflective, Transparent, and Low-Texture Objects",CVPR 2026,,https://arxiv.org/abs/2605.10204,CVPR_2026_full_collect_20260612 | 3D Vision / Geometry / Reconstruction | score=87 | reason=forced_oral,
Wait,A,OccuFly: A 3D Vision Benchmark for Semantic Scene Completion from the Aerial Perspective,CVPR 2026,,https://arxiv.org/abs/2512.20770,CVPR_2026_full_collect_20260612 | 3D Vision / Geometry / Reconstruction | score=87 | reason=forced_oral,
Wait,A,PAI-Bench: A Comprehensive Benchmark For Physical AI,CVPR 2026,,https://arxiv.org/abs/2512.01989,CVPR_2026_full_collect_20260612 | Agentic / Embodied / Planning | score=87 | reason=forced_oral,
Wait,A,VS-Bench: Evaluating VLMs for Strategic Abilities in Multi-Agent Environments,CVPR 2026,,https://arxiv.org/abs/2506.02387,CVPR_2026_full_collect_20260612 | Agentic / Embodied / Planning | score=87 | reason=forced_oral,
Wait,A,Differentiable Vector Quantization for Rate-Distortion Optimization of Generative Image Compression,CVPR 2026,,https://arxiv.org/abs/2604.10546,CVPR_2026_full_collect_20260612 | Efficiency / Systems / Compression | score=86 | reason=forced_oral,
Wait,A,Learning Latent Concepts for Detecting Out-of-Distribution Objects,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Peng_Learning_Latent_Concepts_for_Detecting_Out-of-Distribution_Objects_CVPR_2026_paper.html,CVPR_2026_full_collect_20260612 | Generative Models / Diffusion / Unified Gen-Understanding | score=86 | reason=forced_oral,
Wait,A,SeaCache: Spectral-Evolution-Aware Cache for Accelerating Diffusion Models,CVPR 2026,,https://arxiv.org/abs/2602.18993,CVPR_2026_full_collect_20260612 | Efficiency / Systems / Compression | score=86 | reason=forced_oral,
Wait,A,SenCache: Accelerating Diffusion Model Inference via Sensitivity-Aware Caching,CVPR 2026,,https://arxiv.org/abs/2602.24208,CVPR_2026_full_collect_20260612 | Efficiency / Systems / Compression | score=86 | reason=forced_oral,
Wait,A,Towards Photorealistic and Efficient Bokeh Rendering via Diffusion Framework,CVPR 2026,,https://arxiv.org/abs/2605.07429,CVPR_2026_full_collect_20260612 | Generative Models / Diffusion / Unified Gen-Understanding | score=86 | reason=forced_oral,
Wait,A,Efficient Unrolled Networks for Large-Scale 3D Inverse Problems,CVPR 2026,,https://arxiv.org/abs/2601.02141,CVPR_2026_full_collect_20260612 | 3D Vision / Geometry / Reconstruction | score=85 | reason=forced_oral,
Wait,A,MAGICIAN: Efficient Long-Term Planning with Imagined Gaussians for Active Mapping,CVPR 2026,,https://arxiv.org/abs/2603.22650,CVPR_2026_full_collect_20260612 | Agentic / Embodied / Planning | score=85 | reason=forced_oral,
Wait,A,PoseGAM: Robust Unseen Object Pose Estimation via Geometry-Aware Multi-View Reasoning,CVPR 2026,,https://arxiv.org/abs/2512.10840,CVPR_2026_full_collect_20260612 | 3D Vision / Geometry / Reconstruction | score=85 | reason=forced_oral,
Wait,A,Revisiting Geometric Obfuscation with Dual Convergent Lines for Privacy-Preserving Image Queries in Visual Localization,CVPR 2026,,https://arxiv.org/abs/2604.22310,CVPR_2026_full_collect_20260612 | 3D Vision / Geometry / Reconstruction | score=85 | reason=forced_oral,
Wait,A,ARGUS: Defending Against Multimodal Indirect Prompt Injection via Steering Instruction-Following Behavior,CVPR 2026,,https://arxiv.org/abs/2512.05745,CVPR_2026_full_collect_20260612 | LLM / Vision-Language / Multimodal LMM | score=80 | reason=forced_oral,
Wait,A,Dual-level Adapter Boosting Prompt-free Curvilinear Structure Segmentation,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Zhu_Dual-level_Adapter_Boosting_Prompt-free_Curvilinear_Structure_Segmentation_CVPR_2026_paper.html,CVPR_2026_full_collect_20260612 | LLM / Vision-Language / Multimodal LMM | score=80 | reason=forced_oral,
Wait,A,Medic-AD: Towards Medical Vision-Language Model's Clinical Intelligence,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Park_Medic-AD_Towards_Medical_Vision-Language_Models_Clinical_Intelligence_CVPR_2026_paper.html,CVPR_2026_full_collect_20260612 | LLM / Vision-Language / Multimodal LMM | score=80 | reason=forced_oral,
Wait,A,PR-MaGIC: Prompt Refinement Via Mask Decoder Gradient Flow For In-Context Segmentation,CVPR 2026,,https://arxiv.org/abs/2604.12113,CVPR_2026_full_collect_20260612 | LLM / Vision-Language / Multimodal LMM | score=80 | reason=forced_oral,
Wait,A,Texvent: Asynchronous Event Data Simulation via Text Prompt,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Wang_Texvent_Asynchronous_Event_Data_Simulation_via_Text_Prompt_CVPR_2026_paper.html,CVPR_2026_full_collect_20260612 | LLM / Vision-Language / Multimodal LMM | score=80 | reason=forced_oral,
Wait,A,Understanding Task Transfer in Vision-Language Models,CVPR 2026,,https://arxiv.org/abs/2511.18787,CVPR_2026_full_collect_20260612 | LLM / Vision-Language / Multimodal LMM | score=80 | reason=forced_oral,
Wait,A,A Style is Worth One Code: Unlocking Code-to-Style Image Generation with Discrete Style Space,CVPR 2026,,https://arxiv.org/abs/2511.10555,CVPR_2026_full_collect_20260612 | Generative Models / Diffusion / Unified Gen-Understanding | score=78 | reason=forced_oral,
Wait,A,Advancing Image Classification with Discrete Diffusion Classification Modeling,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Belhasin_Advancing_Image_Classification_with_Discrete_Diffusion_Classification_Modeling_CVPR_2026_paper.html,CVPR_2026_full_collect_20260612 | Generative Models / Diffusion / Unified Gen-Understanding | score=78 | reason=forced_oral,
Wait,A,AToken: A Unified Tokenizer for Vision,CVPR 2026,,https://arxiv.org/abs/2509.14476,CVPR_2026_full_collect_20260612 | Generative Models / Diffusion / Unified Gen-Understanding | score=78 | reason=forced_oral,
Wait,A,Black-box Membership Inference Attacks on the Pre-training Data of Image-generation Models,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Qi_Black-box_Membership_Inference_Attacks_on_the_Pre-training_Data_of_Image-generation_CVPR_2026_paper.html,CVPR_2026_full_collect_20260612 | Generative Models / Diffusion / Unified Gen-Understanding | score=78 | reason=forced_oral,
Wait,A,CURE: Curriculum-guided Multi-task Training for Reliable Anatomy Grounded Report Generation,CVPR 2026,,https://arxiv.org/abs/2601.15408,CVPR_2026_full_collect_20260612 | Generative Models / Diffusion / Unified Gen-Understanding | score=78 | reason=forced_oral,
Wait,A,Optical Flow Matching: Reframing Optical Flow as Continuous Transport Dynamics,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Luo_Optical_Flow_Matching_Reframing_Optical_Flow_as_Continuous_Transport_Dynamics_CVPR_2026_paper.html,CVPR_2026_full_collect_20260612 | Generative Models / Diffusion / Unified Gen-Understanding | score=78 | reason=forced_oral,
Wait,A,PAVAS: Physics-Aware Video-to-Audio Synthesis,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Hyun-Bin_PAVAS_Physics-Aware_Video-to-Audio_Synthesis_CVPR_2026_paper.html,CVPR_2026_full_collect_20260612 | Generative Models / Diffusion / Unified Gen-Understanding | score=78 | reason=forced_oral,
Wait,A,PixelDiT: Pixel Diffusion Transformers for Image Generation,CVPR 2026,,https://arxiv.org/abs/2511.20645,CVPR_2026_full_collect_20260612 | Generative Models / Diffusion / Unified Gen-Understanding | score=78 | reason=forced_oral,
Wait,A,Streaming Diffusion Model for Fast Infrared and Visible Video Fusion,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Liu_Streaming_Diffusion_Model_for_Fast_Infrared_and_Visible_Video_Fusion_CVPR_2026_paper.html,CVPR_2026_full_collect_20260612 | Generative Models / Diffusion / Unified Gen-Understanding | score=78 | reason=forced_oral,
Wait,A,Wan-Weaver: Interleaved Multi-modal Generation via Decoupled Training,CVPR 2026,,https://arxiv.org/abs/2603.25706,CVPR_2026_full_collect_20260612 | Generative Models / Diffusion / Unified Gen-Understanding | score=78 | reason=forced_oral,
Wait,A,4D Primitive-Mache: Glueing Primitives for Persistent 4D Scene Reconstruction,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Mazur_4D_Primitive-Mache_Glueing_Primitives_for_Persistent_4D_Scene_Reconstruction_CVPR_2026_paper.html,CVPR_2026_full_collect_20260612 | 3D Vision / Geometry / Reconstruction | score=77 | reason=forced_oral,
Wait,A,Chorus: Multi-Teacher Pretraining for Holistic 3D Gaussian Scene Encoding,CVPR 2026,,https://arxiv.org/abs/2512.17817,CVPR_2026_full_collect_20260612 | 3D Vision / Geometry / Reconstruction | score=77 | reason=forced_oral,
Wait,A,Energy-GS: Image Energy-guided Pose Alignment Gaussian Splatting with redesigned pose gradient flow,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Gao_Energy-GS_Image_Energy-guided_Pose_Alignment_Gaussian_Splatting_with_redesigned_pose_CVPR_2026_paper.html,CVPR_2026_full_collect_20260612 | 3D Vision / Geometry / Reconstruction | score=77 | reason=forced_oral,
Wait,A,Faithful Contouring: Near-Lossless 3D Voxel Representation Free from Iso-surface,CVPR 2026,,https://arxiv.org/abs/2511.04029,CVPR_2026_full_collect_20260612 | 3D Vision / Geometry / Reconstruction | score=77 | reason=forced_oral,
Wait,A,FILTR: Extracting Topological Features from Pretrained 3D Models,CVPR 2026,,https://arxiv.org/abs/2604.22334,CVPR_2026_full_collect_20260612 | 3D Vision / Geometry / Reconstruction | score=77 | reason=forced_oral,
Wait,A,From Pairs to Sequences: Track-Aware Policy Gradients for Keypoint Detection,CVPR 2026,,https://arxiv.org/abs/2602.20630,CVPR_2026_full_collect_20260612 | Segmentation / Detection / Tracking | score=77 | reason=forced_oral,
Wait,A,GaussianFluent: Gaussian Simulation for Dynamic Scenes with Mixed Materials,CVPR 2026,,https://arxiv.org/abs/2601.09265,CVPR_2026_full_collect_20260612 | 3D Vision / Geometry / Reconstruction | score=77 | reason=forced_oral,
Wait,A,GLINT: Modeling Scene-Scale Transparency via Gaussian Radiance Transport,CVPR 2026,,https://arxiv.org/abs/2603.26181,CVPR_2026_full_collect_20260612 | 3D Vision / Geometry / Reconstruction | score=77 | reason=forced_oral,
Wait,A,Hearing the Room Through the Shape of the Drum: Modal-Guided Sound Recovery from Multi-Point Surface Vibrations,CVPR 2026,,https://arxiv.org/abs/2604.26678,CVPR_2026_full_collect_20260612 | 3D Vision / Geometry / Reconstruction | score=77 | reason=forced_oral,
Wait,A,InfiniBench: Infinite Benchmarking for Visual Spatial Reasoning with Customizable Scene Complexity,CVPR 2026,,https://arxiv.org/abs/2511.18200,CVPR_2026_full_collect_20260612 | 3D Vision / Geometry / Reconstruction | score=77 | reason=forced_oral,
Wait,A,MetaSpectra+: A Compact Broadband Metasurface Camera for Snapshot Hyperspectral+ Imaging,CVPR 2026,,https://arxiv.org/abs/2603.09116,CVPR_2026_full_collect_20260612 | Image Restoration / Computational Imaging | score=77 | reason=forced_oral,
Wait,A,Monocular Open Vocabulary Occupancy Prediction for Indoor Scenes,CVPR 2026,,https://arxiv.org/abs/2602.22667,CVPR_2026_full_collect_20260612 | 3D Vision / Geometry / Reconstruction | score=77 | reason=forced_oral,
Wait,A,Neural Field-Based 3D Surface Reconstruction of Microstructures from Multi-Detector Signals in Scanning Electron Microscopy,CVPR 2026,,https://arxiv.org/abs/2508.04728,CVPR_2026_full_collect_20260612 | 3D Vision / Geometry / Reconstruction | score=77 | reason=forced_oral,
Wait,A,RefAV: Towards Planning-Centric Scenario Mining,CVPR 2026,,https://arxiv.org/abs/2505.20981,CVPR_2026_full_collect_20260612 | Agentic / Embodied / Planning | score=77 | reason=forced_oral,
Wait,A,Residual Primitive Fitting of 3D Shapes with SuperFrusta,CVPR 2026,,https://arxiv.org/abs/2512.09201,CVPR_2026_full_collect_20260612 | 3D Vision / Geometry / Reconstruction | score=77 | reason=forced_oral,
Wait,A,RetimeGS: Continuous-Time Reconstruction of 4D Gaussian Splatting,CVPR 2026,,https://arxiv.org/abs/2603.13783,CVPR_2026_full_collect_20260612 | 3D Vision / Geometry / Reconstruction | score=77 | reason=forced_oral,
Wait,A,S$^2$AM3D: Scale-controllable Part Segmentation of 3D Point Clouds,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Su_S2AM3D_Scale-controllable_Part_Segmentation_of_3D_Point_Clouds_CVPR_2026_paper.html,CVPR_2026_full_collect_20260612 | 3D Vision / Geometry / Reconstruction | score=77 | reason=forced_oral,
Wait,A,SeeGroup: Multi-Layer Depth Estimation of Transparent Surfaces via Self-Determined Grouping,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Wen_SeeGroup_Multi-Layer_Depth_Estimation_of_Transparent_Surfaces_via_Self-Determined_Grouping_CVPR_2026_paper.html,CVPR_2026_full_collect_20260612 | 3D Vision / Geometry / Reconstruction | score=77 | reason=forced_oral,
Wait,A,Selfi: Self-improving Reconstruction Engine via 3D Geometric Feature Alignment,CVPR 2026,,https://arxiv.org/abs/2512.08930,CVPR_2026_full_collect_20260612 | 3D Vision / Geometry / Reconstruction | score=77 | reason=forced_oral,
Wait,A,SocialNav: Training Human-Inspired Foundation Model for Socially-Aware Embodied Navigation,CVPR 2026,,https://arxiv.org/abs/2511.21135,CVPR_2026_full_collect_20260612 | Agentic / Embodied / Planning | score=77 | reason=forced_oral,
Wait,A,Z-Order Transformer for Feed-Forward Gaussian Splatting,CVPR 2026,,https://arxiv.org/abs/2605.13465,CVPR_2026_full_collect_20260612 | 3D Vision / Geometry / Reconstruction | score=77 | reason=forced_oral,
Wait,A,Rethinking Dataset Distillation: Hard Truths about Soft Labels,CVPR 2026,,https://arxiv.org/abs/2604.18811,CVPR_2026_full_collect_20260612 | Datasets / Benchmarks / Evaluation | score=73 | reason=forced_oral,
Wait,A,ImmerIris: A Large-Scale Dataset and Benchmark for Off-Axis and Unconstrained Iris Recognition in Immersive Applications,CVPR 2026,,https://arxiv.org/abs/2510.10113,CVPR_2026_full_collect_20260612 | Datasets / Benchmarks / Evaluation | score=65 | reason=forced_oral,
Wait,A,OLATverse: A Large-scale Real-world Object Dataset with Precise Lighting Control,CVPR 2026,,https://arxiv.org/abs/2511.02483,CVPR_2026_full_collect_20260612 | Segmentation / Detection / Tracking | score=65 | reason=forced_oral,
Wait,A,"Plant Taxonomy Meets Plant Counting: A Fine-Grained, Taxonomic Dataset for Counting Hundreds of Plant Species",CVPR 2026,,https://arxiv.org/abs/2603.21229,CVPR_2026_full_collect_20260612 | Datasets / Benchmarks / Evaluation | score=65 | reason=forced_oral,
Wait,A,RobotSeg: A Model and Dataset for Segmenting Robots in Image and Video,CVPR 2026,,https://arxiv.org/abs/2511.22950,CVPR_2026_full_collect_20260612 | Datasets / Benchmarks / Evaluation | score=65 | reason=forced_oral,
Wait,B,FINER: MLLMs Hallucinate under Fine-grained Negative Queries,CVPR 2026,,https://arxiv.org/abs/2603.17662,CVPR_2026_full_collect_20260612 | Safety / Robustness / Privacy | score=63 | reason=forced_oral,
Wait,B,Global-Aware Edge Prioritization for Pose Graph Initialization,CVPR 2026,,https://arxiv.org/abs/2602.21963,CVPR_2026_full_collect_20260612 | Efficiency / Systems / Compression | score=63 | reason=forced_oral,
Wait,B,HTTM: Head-wise Temporal Token Merging for Faster VGGT,CVPR 2026,,https://arxiv.org/abs/2511.21317,CVPR_2026_full_collect_20260612 | Efficiency / Systems / Compression | score=63 | reason=forced_oral,
Wait,B,LATA: Laplacian-Assisted Transductive Adaptation for Conformal Uncertainty in Medical VLMs,CVPR 2026,,https://arxiv.org/abs/2602.17535,CVPR_2026_full_collect_20260612 | Safety / Robustness / Privacy | score=63 | reason=forced_oral,
Wait,B,LDP-Slicing: Local Differential Privacy for Images via Randomized Bit-Plane Slicing,CVPR 2026,,https://arxiv.org/abs/2603.03711,CVPR_2026_full_collect_20260612 | Safety / Robustness / Privacy | score=63 | reason=forced_oral,
Wait,B,NOWA: Null-space Optical Watermark for Invisible Capture Fingerprinting and Tamper Localization,CVPR 2026,,https://arxiv.org/abs/2512.22501,CVPR_2026_full_collect_20260612 | Safety / Robustness / Privacy | score=63 | reason=forced_oral,
Wait,B,NuWa: Deriving Lightweight Class-Specific Vision Transformers for Edge Devices,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Wei_NuWa_Deriving_Lightweight_Class-Specific_Vision_Transformers_for_Edge_Devices_CVPR_2026_paper.html,CVPR_2026_full_collect_20260612 | Efficiency / Systems / Compression | score=63 | reason=forced_oral,
Wait,B,R2-Seg: Training-Free OOD Medical Tumor Segmentation via Anatomical Reasoning and Statistical Rejection,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Shen_R2-Seg_Training-Free_OOD_Medical_Tumor_Segmentation_via_Anatomical_Reasoning_and_CVPR_2026_paper.html,CVPR_2026_full_collect_20260612 | Medical / Scientific Vision | score=63 | reason=forced_oral,
Wait,B,Scalable Multi-View Subspace Clustering with Tensorized Anchor Guidance,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Jia_Scalable_Multi-View_Subspace_Clustering_with_Tensorized_Anchor_Guidance_CVPR_2026_paper.html,CVPR_2026_full_collect_20260612 | Efficiency / Systems / Compression | score=63 | reason=forced_oral,
Wait,B,"SEATrack: Simple, Efficient, and Adaptive Multimodal Tracker",CVPR 2026,,https://arxiv.org/abs/2604.12502,CVPR_2026_full_collect_20260612 | Segmentation / Detection / Tracking | score=63 | reason=forced_oral,
Wait,B,Thinking with Drafts: Speculative Temporal Reasoning for Efficient Long Video Understanding,CVPR 2026,,https://arxiv.org/abs/2512.00805,CVPR_2026_full_collect_20260612 | Efficiency / Systems / Compression | score=63 | reason=forced_oral,
Wait,B,U^2Flow: Uncertainty-Aware Unsupervised Optical Flow Estimation,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Sun_U2Flow_Uncertainty-Aware_Unsupervised_Optical_Flow_Estimation_CVPR_2026_paper.html,CVPR_2026_full_collect_20260612 | Safety / Robustness / Privacy | score=63 | reason=forced_oral,
Wait,B,Breaking the Scalability Limit of Multi-Projector Calibration with Embedded Cameras,CVPR 2026,,https://arxiv.org/abs/2604.24024,CVPR_2026_full_collect_20260612 | Other Vision / Applications | score=55 | reason=forced_oral,
Wait,B,Confusion-Aware Spectral Regularizer for Long-Tailed Recognition,CVPR 2026,,https://arxiv.org/abs/2603.16732,CVPR_2026_full_collect_20260612 | Segmentation / Detection / Tracking | score=55 | reason=forced_oral,
Wait,B,Customized Fusion: A Closed-Loop Dynamic Network for Adaptive Multi-Task-Aware Infrared-Visible Image Fusion,CVPR 2026,,https://arxiv.org/abs/2604.08924,CVPR_2026_full_collect_20260612 | Image Restoration / Computational Imaging | score=55 | reason=forced_oral,
Wait,B,Data Leakage Detection and De-duplication in Large Scale Geospatial Image Datasets,CVPR 2026,,https://arxiv.org/abs/2304.02296,CVPR_2026_full_collect_20260612 | Segmentation / Detection / Tracking | score=55 | reason=forced_oral,
Wait,B,Differentiable Laplacian Matrix Guided Superpixel Segmentation,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Juybari_Differentiable_Laplacian_Matrix_Guided_Superpixel_Segmentation_CVPR_2026_paper.html,CVPR_2026_full_collect_20260612 | Segmentation / Detection / Tracking | score=55 | reason=forced_oral,
Wait,B,DK-DDIL: Adaptive Knowledge Retention for Dynamic Domain-Incremental Learning in Medical Imaging,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Ma_DK-DDIL_Adaptive_Knowledge_Retention_for_Dynamic_Domain-Incremental_Learning_in_Medical_CVPR_2026_paper.html,CVPR_2026_full_collect_20260612 | Medical / Scientific Vision | score=55 | reason=forced_oral,
Wait,B,Does YOLO Really Need to See Every Training Image in Every Epoch?,CVPR 2026,,https://arxiv.org/abs/2603.17684,CVPR_2026_full_collect_20260612 | Other Vision / Applications | score=55 | reason=forced_oral,
Wait,B,Dual Band Thermal Videography: Separating Time-Varying Reflection and Emission Near Ambient Conditions,CVPR 2026,,https://arxiv.org/abs/2509.11334,CVPR_2026_full_collect_20260612 | Image Restoration / Computational Imaging | score=55 | reason=forced_oral,
Wait,B,Evidential Neural Radiance Fields,CVPR 2026,,https://arxiv.org/abs/2602.23574,CVPR_2026_full_collect_20260612 | Other Vision / Applications | score=55 | reason=forced_oral,
Wait,B,FedAdamom: Adaptive Momentum for Improved Generalization in Federated Optimization,CVPR 2026,,https://openaccess.thecvf.com/content/CVPR2026/html/Hou_FedAdamom_Adaptive_Momentum_for_Improved_Generalization_in_Federated_Optimization_CVPR_2026_paper.html,CVPR_2026_full_collect_20260612 | Representation / Self-Supervised / Transfer | score=55 | reason=forced_oral,
Wait,B,Fine-grained Image Aesthetic Assessment: Learning Discriminative Scores from Relative Ranks,CVPR 2026,,https://arxiv.org/abs/2603.03907,CVPR_2026_full_collect_20260612 | Other Vision / Applications | score=55 | reason=forced_oral,
Wait,B,GeoViS: Geospatially Rewarded Visual Search for Remote Sensing Visual Grounding,CVPR 2026,,https://arxiv.org/abs/2512.02715,CVPR_2026_full_collect_20260612 | Other Vision / Applications | score=55 | reason=forced_oral,
