state,importance,paper_title,venue,project_link_or_github_link,paper_link,sort,pdf_path
Downloaded,S,Light-X: Generative 4D Video Rendering with Camera and Illumination Control,ICLR 2026,,https://openreview.net/forum?id=VBew6vESGL,ICLR_2026_3d4d_supplement_20260612 | score=177 | reasons=3d4d_generation;dynamic_4d;explicit_4d;rendering_nvs;visual_spatial_3d | ds_review=keep | candidate_rank=1,obsidian-vault/paperPDFs/ICLR_2026/Light-X_Generative_4D_Video_Rendering_with_Camera_and_Illumination_Control__d4dde8c331aa.pdf
Downloaded,A,UniHand: A Unified Model for Diverse Controlled 4D Hand Motion Modeling,ICLR 2026,,https://openreview.net/forum?id=upUl6hMYwy,ICLR_2026_3d4d_supplement_20260612 | score=107 | reasons=dynamic_4d;explicit_4d;visual_spatial_3d | ds_review=keep | candidate_rank=23,obsidian-vault/paperPDFs/ICLR_2026/UniHand_A_Unified_Model_for_Diverse_Controlled_4D_Hand_Motion_Modeling__fb445fed84c1.pdf
Downloaded,A,EasyCreator: Empowering 4D Creation through Video Inpainting,ICLR 2026,,https://openreview.net/forum?id=mU8Ubd8aNK,ICLR_2026_3d4d_supplement_20260612 | score=105 | reasons=3d4d_generation;dynamic_4d;explicit_4d | ds_review=keep | candidate_rank=24,obsidian-vault/paperPDFs/ICLR_2026/EasyCreator_Empowering_4D_Creation_through_Video_Inpainting__0433338d18d5.pdf
Downloaded,A,Mesh Splatting for End-to-end Multiview Surface Reconstruction,ICLR 2026,,https://openreview.net/forum?id=PSgps4JXTb,ICLR_2026_3d4d_supplement_20260612 | score=105 | reasons=3d_gaussian_splatting;3d_perception_geometry;reconstruction | ds_review=keep | candidate_rank=25,obsidian-vault/paperPDFs/ICLR_2026/Mesh_Splatting_for_End-to-end_Multiview_Surface_Reconstruction__023e28fff1e0.pdf
Downloaded,A,Trace Anything: Representing Any Video in 4D via Trajectory Fields,ICLR 2026,,https://openreview.net/forum?id=BqaChqppVh,ICLR_2026_3d4d_supplement_20260612 | score=105 | reasons=3d4d_generation;dynamic_4d;explicit_4d | ds_review=keep | candidate_rank=27,obsidian-vault/paperPDFs/ICLR_2026/Trace_Anything_Representing_Any_Video_in_4D_via_Trajectory_Fields__c3173ca21ca2.pdf
Downloaded,A,EA3D: Event-Augmented 3D Diffusion for Generalizable Novel View Synthesis,ICLR 2026,,https://openreview.net/forum?id=YwawhlWdtm,ICLR_2026_3d4d_supplement_20260612 | score=104 | reasons=3d4d_generation;rendering_nvs;visual_spatial_3d | ds_review=keep | candidate_rank=28,obsidian-vault/paperPDFs/ICLR_2026/EA3D_Event-Augmented_3D_Diffusion_for_Generalizable_Novel_View_Synthesis__bb1d8358dc6f.pdf
Downloaded,A,ETGS: Explicit Thermodynamics Gaussian Splatting for Dynamic Thermal Reconstruction,ICLR 2026,,https://openreview.net/forum?id=P2Nw2LMkjH,ICLR_2026_3d4d_supplement_20260612 | score=100 | reasons=3d_gaussian_splatting;dynamic_4d;reconstruction | ds_review=keep | candidate_rank=29,obsidian-vault/paperPDFs/ICLR_2026/ETGS_Explicit_Thermodynamics_Gaussian_Splatting_for_Dynamic_Thermal_Reconstructi__6090bdf94c7b.pdf
Downloaded,A,Learning Physics-Grounded 4D Dynamics with Neural Gaussian Force Fields,ICLR 2026,,https://openreview.net/forum?id=KxvboPqav6,ICLR_2026_3d4d_supplement_20260612 | score=98 | reasons=dynamic_4d;explicit_4d;representation | ds_review=keep | candidate_rank=32,obsidian-vault/paperPDFs/ICLR_2026/Learning_Physics-Grounded_4D_Dynamics_with_Neural_Gaussian_Force_Fields__00adafdb54c4.pdf
Downloaded,A,ReconViaGen: Towards Accurate Multi-view 3D Object Reconstruction via Generation,ICLR 2026,,https://openreview.net/forum?id=z0QLeooEEf,ICLR_2026_3d4d_supplement_20260612 | score=98 | reasons=3d4d_generation;reconstruction;visual_spatial_3d | ds_review=keep | candidate_rank=33,obsidian-vault/paperPDFs/ICLR_2026/ReconViaGen_Towards_Accurate_Multi-view_3D_Object_Reconstruction_via_Generation__bd913d15b45e.pdf
Downloaded,A,SesaHand: Enhancing 3D Hand Reconstruction via Controllable Generation with Semantic and Structural Alignment,ICLR 2026,,https://openreview.net/forum?id=sKMgGQQy7g,ICLR_2026_3d4d_supplement_20260612 | score=98 | reasons=3d4d_generation;reconstruction;visual_spatial_3d | ds_review=keep | candidate_rank=34,obsidian-vault/paperPDFs/ICLR_2026/SesaHand_Enhancing_3D_Hand_Reconstruction_via_Controllable_Generation_with_Seman__96a366a50afa.pdf
Downloaded,A,SkyEvents: A Large-Scale Event-enhanced UAV Dataset for Robust 3D Scene Reconstruction,ICLR 2026,,https://openreview.net/forum?id=dxHPqQindP,ICLR_2026_3d4d_supplement_20260612 | score=98 | reasons=3d4d_generation;reconstruction;visual_spatial_3d | ds_review=keep | candidate_rank=35,obsidian-vault/paperPDFs/ICLR_2026/SkyEvents_A_Large-Scale_Event-enhanced_UAV_Dataset_for_Robust_3D_Scene_Reconstru__5f0daf32f322.pdf
Downloaded,A,A^2TG: Adaptive Anisotropic Textured Gaussians for Efficient 3D Scene Representation,ICLR 2026,,https://openreview.net/forum?id=EPN5MU4liR,ICLR_2026_3d4d_supplement_20260612 | score=91 | reasons=3d4d_generation;representation;visual_spatial_3d | ds_review=keep | candidate_rank=37,obsidian-vault/paperPDFs/ICLR_2026/A_2TG_Adaptive_Anisotropic_Textured_Gaussians_for_Efficient_3D_Scene_Representation__ICLR_2026_a_2tg_adaptive_anisotropic_textured_gaussians_for_efficient_3d_scene_representation.pdf
Downloaded,A,EgoHandICL: Egocentric 3D Hand Reconstruction with In-Context Learning,ICLR 2026,,https://openreview.net/forum?id=nwjy9BeorI,ICLR_2026_3d4d_supplement_20260612 | score=91 | reasons=reconstruction;representation;visual_spatial_3d | ds_review=keep | candidate_rank=38,obsidian-vault/paperPDFs/ICLR_2026/EgoHandICL_Egocentric_3D_Hand_Reconstruction_with_In-Context_Learning__e95df01ae740.pdf
Downloaded,A,PA3FF:Learning Part-Aware Dense 3D Feature Field For Generalizable Articulated Object Manipulation,ICLR 2026,,https://openreview.net/forum?id=qXfRXfAHOK,ICLR_2026_3d4d_supplement_20260612 | score=91 | reasons=3d4d_generation;representation;visual_spatial_3d | ds_review=keep | candidate_rank=39,obsidian-vault/paperPDFs/ICLR_2026/PA3FF_Learning_Part-Aware_Dense_3D_Feature_Field_For_Generalizable_Articulated_O__591e4e474026.pdf
Downloaded,A,Dynamic Novel View Synthesis in High Dynamic Range,ICLR 2026,,https://openreview.net/forum?id=10iBNwPtl2,ICLR_2026_3d4d_supplement_20260612 | score=90 | reasons=dynamic_4d;rendering_nvs;visual_spatial_3d | ds_review=keep | candidate_rank=40,obsidian-vault/paperPDFs/ICLR_2026/Dynamic_Novel_View_Synthesis_in_High_Dynamic_Range__c7124ba0dcb7.pdf
Downloaded,A,ComGS: Efficient 3D Object-Scene Composition via Surface Octahedral Probes,ICLR 2026,,https://openreview.net/forum?id=yXiSPBMrTT,ICLR_2026_3d4d_supplement_20260612 | score=89 | reasons=3d4d_generation;3d_perception_geometry;visual_spatial_3d | ds_review=keep | candidate_rank=41,obsidian-vault/paperPDFs/ICLR_2026/ComGS_Efficient_3D_Object-Scene_Composition_via_Surface_Octahedral_Probes__278056e7b7f4.pdf
Downloaded,A,3DGEER: 3D Gaussian Rendering Made Exact and Efficient for Generic Cameras,ICLR 2026,,https://openreview.net/forum?id=4voMNlRWI7,ICLR_2026_3d4d_supplement_20260612 | score=88 | reasons=3d_gaussian_splatting;rendering_nvs | ds_review=keep | candidate_rank=42,obsidian-vault/paperPDFs/ICLR_2026/3DGEER_3D_Gaussian_Rendering_Made_Exact_and_Efficient_for_Generic_Cameras__ICLR_2026_3dgeer_3d_gaussian_rendering_made_exact_and_efficient_for_generic_cameras.pdf
Downloaded,A,Augmented Radiance Field: A General Framework for Enhanced Gaussian Splatting,ICLR 2026,,https://openreview.net/forum?id=IzlaRUHncO,ICLR_2026_3d4d_supplement_20260612 | score=88 | reasons=3d_gaussian_splatting;rendering_nvs | ds_review=keep | candidate_rank=43,obsidian-vault/paperPDFs/ICLR_2026/Augmented_Radiance_Field_A_General_Framework_for_Enhanced_Gaussian_Splatting__a448d65dd9ee.pdf
Downloaded,A,Horseshoe Splatting: Handling Structural Sparsity for Uncertainty-Aware Gaussian-Splatting Radiance Field Rendering,ICLR 2026,,https://openreview.net/forum?id=NHuyk9KsG6,ICLR_2026_3d4d_supplement_20260612 | score=88 | reasons=3d_gaussian_splatting;rendering_nvs | ds_review=keep | candidate_rank=44,obsidian-vault/paperPDFs/ICLR_2026/Horseshoe_Splatting_Handling_Structural_Sparsity_for_Uncertainty-Aware_Gaussian-__e32e9c64d698.pdf
Downloaded,A,ShapeGen4D: Towards High Quality 4D Shape Generation from Videos,ICLR 2026,,https://openreview.net/forum?id=r9AJisFLLo,ICLR_2026_3d4d_supplement_20260612 | score=87 | reasons=3d4d_generation;explicit_4d | ds_review=keep | candidate_rank=45,obsidian-vault/paperPDFs/ICLR_2026/ShapeGen4D_Towards_High_Quality_4D_Shape_Generation_from_Videos__3a1c93476b93.pdf
Downloaded,A,UFO-4D: Unposed Feedforward 4D Reconstruction from Two Images,ICLR 2026,,https://openreview.net/forum?id=8gDDWqO59H,ICLR_2026_3d4d_supplement_20260612 | score=87 | reasons=explicit_4d;reconstruction | ds_review=keep | candidate_rank=46,obsidian-vault/paperPDFs/ICLR_2026/UFO-4D_Unposed_Feedforward_4D_Reconstruction_from_Two_Images__f4891bdea6ab.pdf
Downloaded,A,MoCa: Modeling Object Consistency for 3D Camera Control in Video Generation,ICLR 2026,,https://openreview.net/forum?id=DZcpnudp7f,ICLR_2026_3d4d_supplement_20260612 | score=84 | reasons=3d4d_generation;dynamic_4d;visual_spatial_3d | ds_review=keep | candidate_rank=47,obsidian-vault/paperPDFs/ICLR_2026/MoCa_Modeling_Object_Consistency_for_3D_Camera_Control_in_Video_Generation__fe63ef4de104.pdf
Downloaded,A,Stylos: Multi-View 3D Stylization with Single-Forward Gaussian Splatting,ICLR 2026,,https://openreview.net/forum?id=Ir0HMkRpYb,ICLR_2026_3d4d_supplement_20260612 | score=84 | reasons=3d_gaussian_splatting;visual_spatial_3d | ds_review=keep | candidate_rank=49,obsidian-vault/paperPDFs/ICLR_2026/Stylos_Multi-View_3D_Stylization_with_Single-Forward_Gaussian_Splatting__449d413115ca.pdf
Downloaded,A,DrivingGen: A Comprehensive Benchmark for Generative Video World Models in Autonomous Driving,ICLR 2026,,https://openreview.net/forum?id=OrgL5DsU0f,ICLR_2026_3d4d_supplement_20260612 | score=82 | reasons=dynamic_4d;visual_spatial_3d;world_model | ds_review=keep | candidate_rank=52,obsidian-vault/paperPDFs/ICLR_2026/DrivingGen_A_Comprehensive_Benchmark_for_Generative_Video_World_Models_in_Autono__faee0d3a7a34.pdf
Downloaded,A,ResWorld: Temporal Residual World Model for End-to-End Autonomous Driving,ICLR 2026,,https://openreview.net/forum?id=ptGmMFGWmk,ICLR_2026_3d4d_supplement_20260612 | score=82 | reasons=dynamic_4d;visual_spatial_3d;world_model | ds_review=keep | candidate_rank=55,obsidian-vault/paperPDFs/ICLR_2026/ResWorld_Temporal_Residual_World_Model_for_End-to-End_Autonomous_Driving__0aa5048f38c3.pdf
Downloaded,A,StreamSplat: Towards Online Dynamic 3D Reconstruction from Uncalibrated Video Streams,ICLR 2026,,https://openreview.net/forum?id=SaiDRQU7Ez,ICLR_2026_3d4d_supplement_20260612 | score=82 | reasons=3d4d_generation;dynamic_4d;reconstruction | ds_review=keep | candidate_rank=57,obsidian-vault/paperPDFs/ICLR_2026/StreamSplat_Towards_Online_Dynamic_3D_Reconstruction_from_Uncalibrated_Video_Str__ddaf0a5cb355.pdf
Downloaded,A,Unsupervised Representation Learning for 3D Mesh Parameterization with Semantic and Visibility Objectives,ICLR 2026,,https://openreview.net/forum?id=9LYsvna4Sk,ICLR_2026_3d4d_supplement_20260612 | score=80 | reasons=3d4d_generation;3d_perception_geometry;representation | ds_review=keep | candidate_rank=60,obsidian-vault/paperPDFs/ICLR_2026/Unsupervised_Representation_Learning_for_3D_Mesh_Parameterization_with_Semantic___fb445667e240.pdf
Downloaded,A,GaussianFusion: Unified 3D Gaussian Representation for Multi-Modal Fusion Perception,ICLR 2026,,https://openreview.net/forum?id=7jXxQ9bGoU,ICLR_2026_3d4d_supplement_20260612 | score=75 | reasons=3d_gaussian_splatting;representation | ds_review=keep | candidate_rank=63,obsidian-vault/paperPDFs/ICLR_2026/GaussianFusion_Unified_3D_Gaussian_Representation_for_Multi-Modal_Fusion_Percept__c79ab99eee1d.pdf
Downloaded,A,Learning Unified Representation of 3D Gaussian Splatting,ICLR 2026,,https://openreview.net/forum?id=NvpVtGG6hk,ICLR_2026_3d4d_supplement_20260612 | score=75 | reasons=3d_gaussian_splatting;representation | ds_review=keep | candidate_rank=64,obsidian-vault/paperPDFs/ICLR_2026/Learning_Unified_Representation_of_3D_Gaussian_Splatting__bb3f48b32ad5.pdf
Downloaded,A,Open-Set Semantic Gaussian Splatting SLAM with Expandable Representation,ICLR 2026,,https://openreview.net/forum?id=E68dgQUzrC,ICLR_2026_3d4d_supplement_20260612 | score=75 | reasons=3d_gaussian_splatting;representation | ds_review=keep | candidate_rank=65,obsidian-vault/paperPDFs/ICLR_2026/Open-Set_Semantic_Gaussian_Splatting_SLAM_with_Expandable_Representation__fa5af39ce6a2.pdf
Downloaded,B,SurfSplat: Conquering Feedforward 2D Gaussian Splatting with Surface Continuity Priors,ICLR 2026,,https://openreview.net/forum?id=o1sF4XaFdY,ICLR_2026_3d4d_supplement_20260612 | score=73 | reasons=3d_gaussian_splatting;3d_perception_geometry | ds_review=keep | candidate_rank=67,obsidian-vault/paperPDFs/ICLR_2026/SurfSplat_Conquering_Feedforward_2D_Gaussian_Splatting_with_Surface_Continuity_P__7f838b1d2532.pdf
Downloaded,B,Aligned Novel View Image and Geometry Synthesis via Cross-modal Attention Instillation,ICLR 2026,,https://openreview.net/forum?id=vjvwYexMQn,ICLR_2026_3d4d_supplement_20260612 | score=72 | reasons=rendering_nvs;visual_spatial_3d | ds_review=keep | candidate_rank=68,obsidian-vault/paperPDFs/ICLR_2026/Aligned_Novel_View_Image_and_Geometry_Synthesis_via_Cross-modal_Attention_Instil__f3c511aaa3a8.pdf
Downloaded,B,DiffPBR: Point-Based Rendering via Spatial-Aware Residual Diffusion,ICLR 2026,,https://openreview.net/forum?id=tqOBZbW6j8,ICLR_2026_3d4d_supplement_20260612 | score=72 | reasons=rendering_nvs;visual_spatial_3d | ds_review=keep | candidate_rank=69,obsidian-vault/paperPDFs/ICLR_2026/DiffPBR_Point-Based_Rendering_via_Spatial-Aware_Residual_Diffusion__9d4873f74381.pdf
Downloaded,B,"Efficient-LVSM: Faster, Cheaper, and Better Large View Synthesis Model via Decoupled Co-Refinement Attention",ICLR 2026,,https://openreview.net/forum?id=tzBPOXJ3QC,ICLR_2026_3d4d_supplement_20260612 | score=72 | reasons=rendering_nvs;visual_spatial_3d | ds_review=keep | candidate_rank=70,obsidian-vault/paperPDFs/ICLR_2026/Efficient-LVSM_Faster_Cheaper_and_Better_Large_View_Synthesis_Model_via_Decouple__f97270a5835a.pdf
Downloaded,B,MVCustom: Multi-View Customized Diffusion via Geometric Latent Rendering and Completion,ICLR 2026,,https://openreview.net/forum?id=SGsxxbAjXH,ICLR_2026_3d4d_supplement_20260612 | score=72 | reasons=rendering_nvs;visual_spatial_3d | ds_review=keep | candidate_rank=71,obsidian-vault/paperPDFs/ICLR_2026/MVCustom_Multi-View_Customized_Diffusion_via_Geometric_Latent_Rendering_and_Comp__5fcfc95fff65.pdf
Downloaded,B,Sharp Monocular View Synthesis in Less Than a Second,ICLR 2026,,https://openreview.net/forum?id=yx3g4sF70y,ICLR_2026_3d4d_supplement_20260612 | score=72 | reasons=rendering_nvs;visual_spatial_3d | ds_review=keep | candidate_rank=72,obsidian-vault/paperPDFs/ICLR_2026/Sharp_Monocular_View_Synthesis_in_Less_Than_a_Second__9ff8519e0fec.pdf
Downloaded,B,Fracture-GS: Dynamic Fracture Simulation with Physics-Integrated Gaussian Splatting,ICLR 2026,,https://openreview.net/forum?id=zcAwK50ft0,ICLR_2026_3d4d_supplement_20260612 | score=68 | reasons=3d_gaussian_splatting;dynamic_4d | ds_review=keep | candidate_rank=74,obsidian-vault/paperPDFs/ICLR_2026/Fracture-GS_Dynamic_Fracture_Simulation_with_Physics-Integrated_Gaussian_Splatti__ec080bbb2d3d.pdf
Downloaded,B,Frequency-aware Dynamic Gaussian Splatting,ICLR 2026,,https://openreview.net/forum?id=UZ00ac4eqA,ICLR_2026_3d4d_supplement_20260612 | score=68 | reasons=3d_gaussian_splatting;dynamic_4d | ds_review=keep | candidate_rank=75,obsidian-vault/paperPDFs/ICLR_2026/Frequency-aware_Dynamic_Gaussian_Splatting__a82166feb7da.pdf
Downloaded,B,From Tokens to Nodes: Semantic-Guided Motion Control for Dynamic 3D Gaussian Splatting,ICLR 2026,,https://openreview.net/forum?id=ginzNWATI1,ICLR_2026_3d4d_supplement_20260612 | score=68 | reasons=3d_gaussian_splatting;dynamic_4d | ds_review=keep | candidate_rank=76,obsidian-vault/paperPDFs/ICLR_2026/From_Tokens_to_Nodes_Semantic-Guided_Motion_Control_for_Dynamic_3D_Gaussian_Spla__630a75470d45.pdf
Downloaded,B,MoE-GS: Mixture of Experts for Dynamic Gaussian Splatting,ICLR 2026,,https://openreview.net/forum?id=WrEQFwWCdT,ICLR_2026_3d4d_supplement_20260612 | score=68 | reasons=3d_gaussian_splatting;dynamic_4d | ds_review=keep | candidate_rank=77,obsidian-vault/paperPDFs/ICLR_2026/MoE-GS_Mixture_of_Experts_for_Dynamic_Gaussian_Splatting__610a761de4a8.pdf
Downloaded,B,Disentangled Hierarchical VAE for 3D Human-Human Interaction Generation,ICLR 2026,,https://openreview.net/forum?id=53eIDko6N5,ICLR_2026_3d4d_supplement_20260612 | score=66 | reasons=3d4d_generation;visual_spatial_3d | ds_review=keep | candidate_rank=80,obsidian-vault/paperPDFs/ICLR_2026/Disentangled_Hierarchical_VAE_for_3D_Human-Human_Interaction_Generation__86bc618f301e.pdf
Downloaded,B,H2OFlow: Grounding Human-Object Affordances with 3D Generative Models and Dense Diffused Flows,ICLR 2026,,https://openreview.net/forum?id=QhqJ1DCp1X,ICLR_2026_3d4d_supplement_20260612 | score=66 | reasons=3d4d_generation;visual_spatial_3d | ds_review=keep | candidate_rank=83,obsidian-vault/paperPDFs/ICLR_2026/H2OFlow_Grounding_Human-Object_Affordances_with_3D_Generative_Models_and_Dense_D__cf15d75b0efb.pdf
Downloaded,B,Omni-View: Unlocking How Generation Facilitates Understanding in Unified 3D Model based on Multiview images,ICLR 2026,,https://openreview.net/forum?id=pDu6u9cnEB,ICLR_2026_3d4d_supplement_20260612 | score=66 | reasons=3d4d_generation;visual_spatial_3d | ds_review=keep | candidate_rank=85,obsidian-vault/paperPDFs/ICLR_2026/Omni-View_Unlocking_How_Generation_Facilitates_Understanding_in_Unified_3D_Model__46bff9ed5dad.pdf
Downloaded,B,One2Scene: Geometric Consistent Explorable 3D Scene Generation from a Single Image,ICLR 2026,,https://openreview.net/forum?id=iEelSbUsSy,ICLR_2026_3d4d_supplement_20260612 | score=66 | reasons=3d4d_generation;visual_spatial_3d | ds_review=keep | candidate_rank=86,obsidian-vault/paperPDFs/ICLR_2026/One2Scene_Geometric_Consistent_Explorable_3D_Scene_Generation_from_a_Single_Imag__271d95caee6f.pdf
Downloaded,B,PAT3D: Physics-Augmented Text-to-3D Scene Generation,ICLR 2026,,https://openreview.net/forum?id=iIRxFkeCuY,ICLR_2026_3d4d_supplement_20260612 | score=66 | reasons=3d4d_generation;visual_spatial_3d | ds_review=keep | candidate_rank=87,obsidian-vault/paperPDFs/ICLR_2026/PAT3D_Physics-Augmented_Text-to-3D_Scene_Generation__c1211b545b53.pdf
Downloaded,B,PEERING INTO THE UNKNOWN: ACTIVE VIEW SELECTION WITH NEURAL UNCERTAINTY MAPS FOR 3D RECONSTRUCTION,ICLR 2026,,https://openreview.net/forum?id=e7gbgdw05A,ICLR_2026_3d4d_supplement_20260612 | score=66 | reasons=reconstruction;visual_spatial_3d | ds_review=keep | candidate_rank=88,obsidian-vault/paperPDFs/ICLR_2026/PEERING_INTO_THE_UNKNOWN_ACTIVE_VIEW_SELECTION_WITH_NEURAL_UNCERTAINTY_MAPS_FOR___900d0f26ae10.pdf
Downloaded,B,RefAny3D: 3D Asset-Referenced Diffusion Models for Image Generation,ICLR 2026,,https://openreview.net/forum?id=fUO37EVR7j,ICLR_2026_3d4d_supplement_20260612 | score=66 | reasons=3d4d_generation;visual_spatial_3d | ds_review=keep | candidate_rank=90,obsidian-vault/paperPDFs/ICLR_2026/RefAny3D_3D_Asset-Referenced_Diffusion_Models_for_Image_Generation__af40724eea65.pdf
Downloaded,B,ReLi3D: Relightable Multi-view 3D Reconstruction with Disentangled Illumination,ICLR 2026,,https://openreview.net/forum?id=BlSKgQb3Vd,ICLR_2026_3d4d_supplement_20260612 | score=66 | reasons=reconstruction;visual_spatial_3d | ds_review=keep | candidate_rank=91,obsidian-vault/paperPDFs/ICLR_2026/ReLi3D_Relightable_Multi-view_3D_Reconstruction_with_Disentangled_Illumination__5eeafb1d146e.pdf
Downloaded,B,Sat3DGen: Comprehensive Street-Level 3D Scene Generation from Single Satellite Image,ICLR 2026,,https://openreview.net/forum?id=E7JzkZCofa,ICLR_2026_3d4d_supplement_20260612 | score=66 | reasons=3d4d_generation;visual_spatial_3d | ds_review=keep | candidate_rank=92,obsidian-vault/paperPDFs/ICLR_2026/Sat3DGen_Comprehensive_Street-Level_3D_Scene_Generation_from_Single_Satellite_Im__d04b4ece93f7.pdf
Downloaded,B,Scenethesis: A Language and Vision Agentic Framework for 3D Scene Generation,ICLR 2026,,https://openreview.net/forum?id=SzhezVoaNB,ICLR_2026_3d4d_supplement_20260612 | score=66 | reasons=3d4d_generation;visual_spatial_3d | ds_review=keep | candidate_rank=93,obsidian-vault/paperPDFs/ICLR_2026/Scenethesis_A_Language_and_Vision_Agentic_Framework_for_3D_Scene_Generation__8e8a664a0837.pdf
